//--------------------------------------------------------------------------------------------------
// BOSS技能描述
"DOTA_Tooltip_modifier_boss" 				"Leadership"
"DOTA_Tooltip_modifier_boss_Description"	"Bonus attributes:<br>+ %dMODIFIER_PROPERTY_TOOLTIP% HP<br>+ %dMODIFIER_PROPERTY_TOOLTIP% Physical Damage<br>+ %dMODIFIER_PROPERTY_TOOLTIP% Magical Damage<br>+ %dMODIFIER_PROPERTY_TOOLTIP% Physical armor<br>+ %dMODIFIER_PROPERTY_TOOLTIP% Magic armor"

"DOTA_Tooltip_ability_sk_1" "Burrowstrike"
"DOTA_Tooltip_ability_sk_1_Description" "Burrows into the ground and tunnels forward, damaging and stunning enemy units above him as he resurfaces."

"DOTA_Tooltip_ability_sk_2" "Epicenter"
"DOTA_Tooltip_ability_sk_2_Description" "After channeling for 2 seconds, sends a disturbance into the earth, causing earthshake and massive damage to nearby enemies."

"DOTA_Tooltip_ability_sk_3" "Sand Storm"
"DOTA_Tooltip_ability_sk_3_Description" "Creates a fearsome sandstorm, damaging enemy units within its range and causing them to miss their attacks. Last for %duration% seconds."

"DOTA_Tooltip_ability_sk_4" "Sand Smash"
"DOTA_Tooltip_ability_sk_4_Description" "Bury his head and smash the ground with his tail, taking %damage_reduce%%% less damage. Affected enemy units take damage constantly. Lasts for %duration% seconds."

"DOTA_Tooltip_ability_sk_5" "Slam"
"DOTA_Tooltip_ability_sk_5_Description" "Sweeps his tail, damaging and knocking enemies in to the air."

"DOTA_Tooltip_ability_sk_8" "Deafening Blast"
"DOTA_Tooltip_ability_sk_8_Description" "Unleashes mighty sonic waves around, damaging and knocking enemies back."

"DOTA_Tooltip_ability_kingkong_1" "Giant Boulder"
"DOTA_Tooltip_ability_kingkong_1_Description" "Toss a Giant Boulder at the target area, stunning and damaging enemy units around."

"DOTA_Tooltip_ability_kingkong_2" "Roar"
"DOTA_Tooltip_ability_kingkong_2_Description" "Creates a gigantic wave of sound in front of him, dealing heavy damage to all enemy units in its wake."

"DOTA_Tooltip_ability_kingkong_3" "Call of Jungle"
"DOTA_Tooltip_ability_kingkong_3_Description" "Summons beast soldiers to fight for him."

"DOTA_Tooltip_ability_kingkong_4" "Heal of Vitality"
"DOTA_Tooltip_ability_kingkong_4_Description" "When his HP is lower than %trigger_pct%%%, he automatically receives healing from the Jungle. Lasts for %addon1% seconds."

"DOTA_Tooltip_ability_kingkong_5" "Wilderness Rage"
"DOTA_Tooltip_ability_kingkong_5_Description" "When his HP is lower than %trigger_pct%%%, he goes into a frenzy, providing massive attack speed and the ability to deal cleave damage. Attacks of this enraged beast will knock his enemies back."

"DOTA_Tooltip_ability_kingkong_6" "Charge"
"DOTA_Tooltip_ability_kingkong_6_Description" "Fixes his sight on a target location and starts charging through all objects. All enemy units passed through will be hit and knocked back."

"DOTA_Tooltip_ability_kingkong_7" "Gravel Storm"
"DOTA_Tooltip_ability_kingkong_7_Description" "Summons a storm of gravels and beast army. Becomes invincible while channeling. Gravel Storm will be interrupted if his army is fully eliminated."

"DOTA_Tooltip_ability_kingkong_8" "Mirror Charge"
"DOTA_Tooltip_ability_kingkong_8_Description" "After channeling for 2 seconds, releases 4 mirror image around him that charges enemies. All enemy units passed through will be hit and knocked back."

"DOTA_Tooltip_ability_omniknight_1" "Corrosive Track"
"DOTA_Tooltip_ability_omniknight_1_Description" "Tracks random enemies on the battlefield, enhancing its damage taken. Tracked enemy units will explode upon death. If the target survives the Tracking duration, Wicked Knight will be stunned."
"DOTA_Tooltip_ability_omniknight_1_duration" "Track Duration: "

"DOTA_Tooltip_ability_omniknight_2" "Corrupted Traction"
"DOTA_Tooltip_ability_omniknight_2_Description" "Wicked Knight's corrupted power brings his enemy in, damaging it based on the traction dislance."

"DOTA_Tooltip_ability_omniknight_3" "Light of Annihilation"
