// 大法师
"cmd_beginner" 		                                            "Archmage"
"DOTA_Tooltip_ability_cmd_beginner_1" 				            "Magic Mastery"
"DOTA_Tooltip_ability_cmd_beginner_1_Description" 	            "All units increase %magiatk_bonuspct%%% magical attack."
"DOTA_Tooltip_ability_cmd_beginner_2" 				            "Magic Surge"
"DOTA_Tooltip_ability_cmd_beginner_2_Description" 	            "All units increase %manaregen_bonus% mana regen."
"DOTA_Tooltip_ability_cmd_beginner_3" 				            "Mega Fireball"
"DOTA_Tooltip_ability_cmd_beginner_3_Description" 	            "Get %count% spell card 【Mega Fireball】 at the begining"
"DOTA_Tooltip_ability_cmd_beginner_4" 				            "Overcharge"
"DOTA_Tooltip_ability_cmd_beginner_4_Description" 	            "All units increase %attack_pct%%% attack everytime a spell card deals damage, expires at end of each round."
"DOTA_Tooltip_cmd_beginner_1_buff" 				                "Magic Mastery"
"DOTA_Tooltip_cmd_beginner_1_buff_Description" 	                "+ %dMODIFIER_PROPERTY_TOOLTIP%%% magical attack"
"DOTA_Tooltip_cmd_beginner_2_buff" 				                "Magic Surge"
"DOTA_Tooltip_cmd_beginner_2_buff_Description" 	                "+  %dMODIFIER_PROPERTY_TOOLTIP% mana regen"
"DOTA_Tooltip_modifier_cmd_beginner_4_buff" 				    "Overcharge"
"DOTA_Tooltip_modifier_cmd_beginner_4_buff_Description" 	    "+ %dMODIFIER_PROPERTY_TOOLTIP%%% physical attack <br>+ %dMODIFIER_PROPERTY_TOOLTIP%%% magical attack"

// 黄蜂原型机   
"cmd_tinker" 		                                            "Bumblebee Prototype"    
"DOTA_Tooltip_ability_cmd_tinker_0" 				            "Missile"
"DOTA_Tooltip_ability_cmd_tinker_0_Description" 	            "Base attack is inverted to missile,dealing damage equal to %damage_factor%%% magical attack in %aoe_range% range"
"DOTA_Tooltip_ability_cmd_tinker_1" 				            "Quality Machinery"
"DOTA_Tooltip_ability_cmd_tinker_1_Description" 	            "Reduce %srbuy_decpct%%% hero price"
"DOTA_Tooltip_ability_cmd_tinker_2" 				            "Honorable Commander"
"DOTA_Tooltip_ability_cmd_tinker_2_Description" 	            "Reduce %upgrade_decpct%%% gold to level Bumblebee Prototype up"
"DOTA_Tooltip_ability_cmd_tinker_3" 				            "Traction"
"DOTA_Tooltip_ability_cmd_tinker_3_Description" 	            "Get %number% spell 【Traction】 at the begining"
