"DOTA_Tooltip_ability_courier_egg"		"Egging"
"DOTA_Tooltip_ability_courier_midas"		"Courier Midas"
"DOTA_Tooltip_ability_courier_crystal"		"Fortune"
"DOTA_Tooltip_ability_courier_tax"		"Richer"
"DOTA_Tooltip_ability_courier_physical"		"Fighter"
"DOTA_Tooltip_ability_courier_magical"		"Magic Talent"
"DOTA_Tooltip_ability_courier_mana"		"Mana Talent"
"DOTA_Tooltip_ability_courier_cmd_cost"		"Wind Runner"
"DOTA_Tooltip_ability_courier_cmd_status"		"Strapping"
"DOTA_Tooltip_ability_courier_chest_hunter"		"Treasure Hunter"
"DOTA_Tooltip_ability_courier_sp_duration"		"Treasure Finder"
"DOTA_Tooltip_ability_courier_one_punch"		"Punch out"
"DOTA_Tooltip_ability_courier_draw_cost"		"Billionaire"
"DOTA_Tooltip_ability_courier_destiny"		"Luck"
"DOTA_Tooltip_ability_courier_sp_focus"		"Focus"
"DOTA_Tooltip_ability_courier_building_bonus"		"Popu Extra"
"DOTA_Tooltip_ability_courier_first_aid"		"Rescue"
"DOTA_Tooltip_ability_courier_crit"		"Crit"
"DOTA_Tooltip_ability_courier_egg_Description"		"Create a Golden Egg each round end, Egg provide %min_gold%~%max_gold% gold"
"DOTA_Tooltip_ability_courier_midas_Description"		"Killing enemies have probability %chance%%% get %min_gold%~%max_gold% gold"
"DOTA_Tooltip_ability_courier_crystal_Description"		"Killing enemies have probability %chance%%% get %min_crystal%~%max_crystal% crystal"
"DOTA_Tooltip_ability_courier_tax_Description"		"Tax increase %tax_bonus_pct%%%。"
"DOTA_Tooltip_ability_courier_physical_Description"		"Increase %bonus_physical_damage_pct%%% physical attack"
"DOTA_Tooltip_ability_courier_magical_Description"		"Increase %bonus_magical_damage_pct%%% magical attack"
"DOTA_Tooltip_ability_courier_mana_Description"		"Hero mana max pool increase %bonus_max_mana%"
"DOTA_Tooltip_ability_courier_cmd_cost_Description"		"Cost of upgrading commander reduce %cost_reduce_pct%%%"
"DOTA_Tooltip_ability_courier_cmd_status_Description"		"Commander health increase %cmd_max_hp_bonus%%%, and attack increase %cmd_attackpct%%%"
"DOTA_Tooltip_ability_courier_chest_hunter_Description"		"Damage to Treasure enemy increase %damage_bonus_pct%%%"
"DOTA_Tooltip_ability_courier_sp_duration_Description"		"Treasure enemy bonus increase %pct%%%"
"DOTA_Tooltip_ability_courier_one_punch_Description"		"Heroes have %chance%%% pro kill enemy immediatly"
"DOTA_Tooltip_ability_courier_draw_cost_Description"		"Cost of buying card decrease %price_reduce%%%"
"DOTA_Tooltip_ability_courier_destiny_Description"		"Own 'Destiy Hand' in the beginning of our game, get a item immediatly"
"DOTA_Tooltip_ability_courier_sp_focus_Description"		"Take %count% spell card 'focus' in the beginning"
"DOTA_Tooltip_ability_courier_building_bonus_Description"		"Population + 1"
"DOTA_Tooltip_ability_courier_first_aid_Description"		"Every %interval% seconds heal a lowest health %heal_pct%%% of max health pool and clear debuff"
"DOTA_Tooltip_ability_courier_crit_Description"		"All heroes have %crit_chance%%% chance cause %crit_damage%%% damage"
"DOTA_Tooltip_ability_courier_niunian"			"Wealthy and prosperous"
"DOTA_Tooltip_ability_courier_niunian_Description"			"Cost of buying card decrease %price_reduce%%%, and drop gold at intervals"
"DOTA_Tooltip_ability_courier_niunian_inverval"			"interval: "
