"DOTA_Tooltip_modifier_star_indicator" 		"STAR"
"DOTA_Tooltip_modifier_star_indicator_Description" "CURRENT STAR"

//Bumblebee
"DOTA_Tooltip_ability_gyro_1" "MACHINE GUN BARRAGE"
"DOTA_Tooltip_ability_gyro_1_Description" "Launches a salvo of poison bullets at nearby enemy units. Additional hit of bullets continue to enhance the toxicity.\n<h1>Poison Bullet</h1>Each poison stack ticks for 5 pure damage."
"DOTA_Tooltip_ability_gyro_1_physical2physical" "%Bullet Damage: Physical *"
"DOTA_Tooltip_ability_gyro_1_rockets_per_second" "Bullets per Second: "
"DOTA_Tooltip_ability_gyro_1_poison_chance"     "%Biotoxin Chance: "
"DOTA_Tooltip_ability_gyro_1_range" "Radius: "
"DOTA_Tooltip_modifier_gyro_1_rocket"						"MACHINE GUN BARRAGE"
"DOTA_Tooltip_modifier_gyro_1_rocket_Description"			"Firing salvos of poison bullets."
"DOTA_Tooltip_ability_gyro_2" "POISON MISSILE"
"DOTA_Tooltip_ability_gyro_2_Description" "Fires a poison missile. The missile poisons and deals damage aound the target when hit. Additional hit of missiles continue to enhance the toxicity."
"DOTA_Tooltip_ability_gyro_2_radius" "Radius: "
"DOTA_Tooltip_ability_gyro_2_physical2physical" "%Missile Damage: Physical*"
"DOTA_Tooltip_ability_gyro_2_poison" "Biotoxin Stacks: "
"DOTA_Tooltip_ability_gyro_3" "POISON STING"
"DOTA_Tooltip_ability_gyro_3_Description" "Fies an additional poison missile every several attacks. Additional hit of missiles continue to enhance the toxicity."
"DOTA_Tooltip_ability_gyro_3_require_count" "Required Hits: "
"DOTA_Tooltip_ability_gyro_3_physical2physical" "%Missile Damage: Physical*"
"DOTA_Tooltip_ability_gyro_3_poison" "Biotoxin Stacks: "

//MINEWERK
"DOTA_Tooltip_ability_rattletrap_1" "BLOW OFF STEAM"
"DOTA_Tooltip_ability_rattletrap_1_Description" "Minewerk levels up his steam pressure by 3 when taking damage, blow off some steam will temporarily increase his health regen."
"DOTA_Tooltip_ability_rattletrap_1_max_stack" "Max Level: "
"DOTA_Tooltip_ability_rattletrap_1_regen_pct" "%HealthRegen: Pressure Level*"
"DOTA_Tooltip_ability_rattletrap_1_abilityduration" "Duration: "
"DOTA_Tooltip_modifier_rattletrap_1" "STEAM PRESSURE LEVEL"
"DOTA_Tooltip_modifier_rattletrap_1_Description" "Gains Steam Pressure upon injury."
"DOTA_Tooltip_modifier_rattletrap_1_buff" "BLOW OFF STEAM"
"DOTA_Tooltip_modifier_rattletrap_1_buff_Description" "%fMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%% Health Regen"
"DOTA_Tooltip_ability_rattletrap_2" "HOOKSHOT"
"DOTA_Tooltip_ability_rattletrap_2_Description" "Minewerk fires a grappling device rapidly at an enemy, and launches himself into the target. Any enemies Minewerk collides with along the way are damaged and stunned."
"DOTA_Tooltip_ability_rattletrap_2_physical2physical" "%Hookshot Damage: Physical*"
"DOTA_Tooltip_ability_rattletrap_2_abilitycastrange" "Cast Range: "
"DOTA_Tooltip_ability_rattletrap_2_stun_duration" "Stun Duration: "
"DOTA_Tooltip_modifier_rattletrap_2_motion"             "HOOKSHOT"
"DOTA_Tooltip_modifier_rattletrap_2_motion_Description" "Go Ahead!"
"DOTA_Tooltip_modifier_rattletrap_2_buff" "RAGE"
"DOTA_Tooltip_modifier_rattletrap_2_buff_Description" "Damage increased by %dMODIFIER_PROPERTY_TOOLTIP%%%."
"DOTA_Tooltip_ability_rattletrap_3" "Reactive Armor"
"DOTA_Tooltip_ability_rattletrap_3_Description" "Armed with multiple layers of Reactive Armor, Minewerk disintegrate one layer of his armor into shrapnels when attacked.<br><br>Minewerk's armor will be restored when BLOWS OFF STEAM"
