// 物品品质
"DOTA_Custom_Rarity_Tooltip_1"	"(N)"
"DOTA_Custom_Rarity_Tooltip_2"	"(R)"
"DOTA_Custom_Rarity_Tooltip_3"	"(SR)"
"DOTA_Custom_Rarity_Tooltip_4"	"(SSR)"
"Item_RarityLevel"	"{s:rarity_level}"

//物品名字
"DOTA_Tooltip_ability_item_crystal"						"Soul Crystal"
"DOTA_Tooltip_ability_item_builder_egg"					"Golden Egg"
"DOTA_Tooltip_ability_item_goldchest"					"Golden Token"
"DOTA_Tooltip_ability_item_staff_1"						"Elder Staff"
"DOTA_Tooltip_ability_item_physical_chainmail_1"		"Silver Scale"
"DOTA_Tooltip_ability_item_magical_cloak_1"				"Insulated Cloak"
"DOTA_Tooltip_ability_item_red_booster_1"				"Ruby"
"DOTA_Tooltip_ability_item_blue_booster_1"				"Sapphire"
"DOTA_Tooltip_ability_item_gloves_1"					"Gloves of Haste"
"DOTA_Tooltip_ability_item_mask_1"						"Mask of Terror"
"DOTA_Tooltip_ability_item_sealed_apotheosis_blade_1"	"Sealed Blade of Apotheosis"
"DOTA_Tooltip_ability_item_apotheosis_blade_1"			"Blade of Apotheosis"
"DOTA_Tooltip_ability_item_sealed_ring_of_disaster_1"	"Sealed Ring of Disaster"
"DOTA_Tooltip_ability_item_ring_of_disaster_1"			"Ring of Disaster"
"DOTA_Tooltip_ability_item_quickening_1"				"Jade Pendant"
"DOTA_Tooltip_ability_item_talisman_1"					"Talisman"
"DOTA_Tooltip_ability_item_midas_1"						"Hand of Midas"
"DOTA_Tooltip_ability_item_aether_1"					"Aether Lens"
"DOTA_Tooltip_ability_item_horn_1"						"Beast Horn"
"DOTA_Tooltip_ability_item_angel_1"						"Angel Relic"
"DOTA_Tooltip_ability_item_hyper_1"						"Hyperstone"
"DOTA_Tooltip_ability_item_guardian_boots_1"			"Combat Boot"
"DOTA_Tooltip_ability_item_seerstone_1"					"Seer Stone"
"DOTA_Tooltip_ability_item_octarine_1"					"Octarine Core"
"DOTA_Tooltip_ability_item_claw_1"						"Imp Claw"
"DOTA_Tooltip_ability_item_stromhammer_1"				"Maelstrom"
"DOTA_Tooltip_ability_item_vampirefangs_1"				"Vampire Fangs"
"DOTA_Tooltip_ability_item_lesser_1"					"Crystalys"
"DOTA_Tooltip_ability_item_king_flag_1"					"Emperor Banner"
"DOTA_Tooltip_ability_item_blademail_1"					"Blademail"
"DOTA_Tooltip_ability_item_necro_1"						"Necro Journal"
"DOTA_Tooltip_ability_item_king_staff_1"				"Tyrant's Scepter"
"DOTA_Tooltip_ability_item_obliterating_orb_1"			"Orb of Obliteration"
"DOTA_Tooltip_ability_item_deso_1"						"Desolator"
"DOTA_Tooltip_ability_item_helm_of_undying_1"			"Immortal Helm"
"DOTA_Tooltip_ability_item_crimsonrobe_1"				"Crimson Robe"
"DOTA_Tooltip_ability_item_dagen_1"						"Anchiale Wand"
"DOTA_Tooltip_ability_item_mirror_1"					"Scattering Gem"
"DOTA_Tooltip_ability_item_ring_of_aghanim_1"			"Ring of Aghanim"
"DOTA_Tooltip_ability_item_bfuryaxe_1"					"Battle Fury"
"DOTA_Tooltip_ability_item_craggycoat_1"				"Craggy Coat"
"DOTA_Tooltip_ability_item_manta_axe_1"					"Manta Style"
"DOTA_Tooltip_ability_item_rapier_sword_1"				"Divine Rapier"
"DOTA_Tooltip_ability_item_panicbutton_1"				"Sacred Lamp"
"DOTA_Tooltip_ability_item_endless_carnage_1"			"Endless Carnage"

//效果字段
"DOTA_Tooltip_ability_item_axe_1_magical_attack"						"+$magical_attack"
"DOTA_Tooltip_ability_item_staff_1_magical_attack"						"+$magical_attack"
"DOTA_Tooltip_ability_item_physical_chainmail_1_physical_armor"			"+$physical_armor"
"DOTA_Tooltip_ability_item_magical_cloak_1_magical_armor"				"+$magical_armor"
"DOTA_Tooltip_ability_item_red_booster_1_status_health"					"+$status_health"
"DOTA_Tooltip_ability_item_blue_booster_1_status_mana"					"+$status_mana"
"DOTA_Tooltip_ability_item_gloves_1_attack_speed"						"+$attack_speed"

//Lore字段
"DOTA_CustomTooltip_common_item_lore"						"←Equip by dragging the item to a hero<br></br>●Click to Forge"

//变量定义
"dota_ability_variable_physical_attack"						"Physical Damage"
"dota_ability_variable_magical_attack"						"Magical Damage"
"dota_ability_variable_physical_armor"						"Physical Armor"
"dota_ability_variable_magical_armor"						"Magic Armor"
"dota_ability_variable_physical_armor_pct"					"Extra Physical Armor"
"dota_ability_variable_magical_armor_pct"					"Extra Magic armor"
"dota_ability_variable_status_health"						"HP"
"dota_ability_variable_status_mana"							"Mana"
"dota_ability_variable_mana_regen"							"Mana Regen"
"dota_ability_variable_health_regen"						"Health Regen"
"dota_ability_variable_attack_speed"						"Attack Speed"
"dota_ability_variable_attack_speed_percentage"				"Attack Speed"
"dota_ability_variable_attack_range_of_range"				"Attack Range"
"dota_ability_variable_movement_speed"						"Movement Speed"
"dota_ability_variable_attack_helf"							"Lifesteal"
"dota_ability_variable_attack_percentage"					"Bonus Damage Percent"
"dota_ability_variable_attack_miss"							"Bonus Evasion Percent"
"dota_ability_variable_mana_regen_outgoing"					"Mana Drain"
"dota_ability_variable_physical_attack_pct"					"Bonus Physical DMG"
"dota_ability_variable_magical_attack_pct"					"Bonus Magical DMG"
"dota_ability_variable_gold_earn"							"Pocket Picker"
"dota_ability_variable_magical_helf"						"Magic Lifesteal"
"dota_ability_variable_magical_crit_chance"					"Magic Crit Chance"
"dota_ability_variable_magical_crit_damage"					"Magic Crit DMG"
"dota_ability_variable_crit_chance"							"Attack Crit Chance"
"dota_ability_variable_crit_damage_pct"						"Attack Crit DMG"
"dota_ability_variable_health_regen_per"						"Attack Lifesteal"
"dota_ability_variable_creep_damage_bonus"						"DMG to Non-Elite units"
"dota_ability_variable_elit_damage_bonus"						"DMG to Elite Units"

"dota_ability_variable_summon_attack_speed_pct"				"Summoned Unit Attack Speed"
"dota_ability_variable_healthpct_bonus"                     "Max health pool"
"dota_ability_variable_health_regen_percentage"             "Increase Health regen"

//稻草人
 "DOTA_Tooltip_ability_item_scarecrow_1"								"Scarecrow"
 "DOTA_Tooltip_ability_item_scarecrow_1_description"					"+%damage_pct%%% Spell Damage, -%damage_pct%%% Attack Damage\n<h1>Activation Effect</h1> Remove the attack damage penalty."
 "DOTA_Tooltip_ability_item_scarecrow_1_Lore"							"'Ninety years ago I was a freak. Today I'm an amateur.'"
 "DOTA_Tooltip_modifier_item_scarecrow_1"								"Aston Martin"
 "DOTA_Tooltip_modifier_item_scarecrow_1_description"					"Can't even afford."

//物品格锁
 "DOTA_Tooltip_ability_item_lock_3"						"Locked Slot"
 "DOTA_Tooltip_ability_item_lock_3_description"			"Will be unlocked at Level 3."
 "DOTA_Tooltip_ability_item_lock_3_Lore"				"If you can't stand the heat, get out of the kitchen."
 "DOTA_Tooltip_ability_item_lock_5"						"Locked Slot"
 "DOTA_Tooltip_ability_item_lock_5_description"			"Will be unlocked at Level 5."
 "DOTA_Tooltip_ability_item_lock_5_Lore"				"If you can't stand the heat, get out of the kitchen."


// // // // // // // // // // // // // // // // // // // // 白装

// 砍柴斧
"DOTA_Tooltip_ability_item_axe"									  "Hatchet"
"DOTA_Tooltip_ability_item_axe_crit_damage_pct"					  "%+$crit_damage_pct"
"DOTA_Tooltip_ability_item_axe_crit_chance"						  "%+$crit_chance"
"DOTA_Tooltip_ability_item_axe_physical_attack"					  "+$physical_attack"


// 力量手环
"DOTA_Tooltip_ability_item_strength_ring"							 "Wristband of Strength"
"DOTA_Tooltip_ability_item_strength_ring_physical_attack"			 "+$physical_attack"

// 智力法袍
"DOTA_Tooltip_ability_item_magical_ring"							 "Robe of the Magi"
"DOTA_Tooltip_ability_item_magical_ring_magical_attack"				 "+$magical_attack"
"DOTA_Tooltip_ability_item_magical_ring_crit_chance"				 "%+$crit_chance"
"DOTA_Tooltip_ability_item_magical_ring_crit_damage_pct"			 "%+$crit_damage_pct"

// 力量手套
"DOTA_Tooltip_ability_item_strength_gloves"							 "Glove of Strength"
"DOTA_Tooltip_ability_item_strength_gloves_physical_attack_pct"		 "%+$physical_attack_pct"
"DOTA_Tooltip_ability_item_strength_gloves_status_health"		     "+$status_health"
"DOTA_Tooltip_ability_item_strength_gloves_health_regen"		     "+$health_regen"

// 法强之戒
"DOTA_Tooltip_ability_item_magical_gloves"							 "Ring of Magi"
"DOTA_Tooltip_ability_item_magical_gloves_magical_attack_pct"		 "%+$magical_attack_pct"
"DOTA_Tooltip_ability_item_magical_gloves_status_mana"		         "+$status_mana"
"DOTA_Tooltip_ability_item_magical_gloves_mana_regen"		         "+$mana_regen"

// 吸血脸
"DOTA_Tooltip_ability_item_blood_suck"								 "Morbid Mask"
"DOTA_Tooltip_ability_item_blood_suck_description"					 "+%blood_suck%%% Lifesteal"

// 恢复戒指
"DOTA_Tooltip_ability_item_health_ring"								 "Ring of Regen"
"DOTA_Tooltip_ability_item_health_ring_health_regen"				 "+$health_regen"

// 枫糖浆
"DOTA_Tooltip_ability_item_gold_hand"								 "Maple Syrup"
"DOTA_Tooltip_ability_item_gold_hand_gold_earn"						 "+$gold_earn"
"DOTA_Tooltip_ability_item_gold_hand_description"		             "Triple-triple, veuillez replace sugar with maple syrup. Merci."
"DOTA_Tooltip_modifier_item_gold_hand"								 "Québécois Syrupy!"
"DOTA_Tooltip_modifier_item_gold_hand_description"				     "Received %dMODIFIER_PROPERTY_TOOLTIP% gold."

// 恢复法戒
"DOTA_Tooltip_ability_item_mana_ring"								 "Clarity"
"DOTA_Tooltip_ability_item_mana_ring_mana_regen"					 "+$mana_regen"

// 小魔瓶
"DOTA_Tooltip_ability_item_tiny_magicbox"							 "Bottle"
"DOTA_Tooltip_ability_item_tiny_magicbox_description"				 "Regen %mana_boost% mana at the start of each round."

// 闪避符
"DOTA_Tooltip_ability_item_evasion_talisman"						 "Talisman of Evasion"
"DOTA_Tooltip_ability_item_evasion_talisman_evasion_pct"			 "%+$evasion"

// 巫毒面具
"DOTA_Tooltip_ability_item_voodo_mask"								 "Voodoo Mask"
"DOTA_Tooltip_ability_item_voodo_mask_magical_helf"					 "%+$magical_helf"
"DOTA_Tooltip_ability_item_voodo_mask_magical_attack"			     "+$magical_attack"

// 破碎的酒桶
"DOTA_Tooltip_ability_item_broken_cask"								 "Broken Barrel"
"DOTA_Tooltip_ability_item_broken_cask_description"					 "Gives a %chance%%% chance to block %black_damage% physical damage."

// 破碎的护符
"DOTA_Tooltip_ability_item_broken_talisman"					         "Broken Charm"
"DOTA_Tooltip_ability_item_broken_talisman_description"		         "Gives a %chance%%% chance to block %black_damage% physical damage."

// 伐木斧
"DOTA_Tooltip_ability_item_farm_axe"								 "Logging Axe"
"DOTA_Tooltip_ability_item_farm_axe_physical_attack"			     "+$physical_attack"
"DOTA_Tooltip_ability_item_farm_axe_magical_attack"				     "+$magical_attack"
"DOTA_Tooltip_ability_item_farm_axe_creep_damage_bonus"				 "%+$creep_damage_bonus"

// 快速手套
"DOTA_Tooltip_ability_item_speed_hand"								 "Glove of Swiftness"
"DOTA_Tooltip_ability_item_speed_hand_attack_speed"					 "+$attack_speed"

// 附魔板甲
"DOTA_Tooltip_ability_item_beast_skin"					             "Enchanted Platemail"
"DOTA_Tooltip_ability_item_beast_skin_physical_armor"				 "+$physical_armor"
"DOTA_Tooltip_ability_item_beast_skin_magical_armor"				 "+$magical_armor"

// 抗魔斗篷
"DOTA_Tooltip_ability_item_magical_beast_skin"						 "Cloak"
"DOTA_Tooltip_ability_item_magical_beast_skin_magical_armor"		 "+$magical_armor"

// 敏捷之靴
"DOTA_Tooltip_ability_item_speedOf_shoe"							 "Slippers of Agility"
"DOTA_Tooltip_ability_item_speedOf_shoe_movement_speed"				 "+$movement_speed"
"DOTA_Tooltip_ability_item_speedOf_shoe_attack_speed"				 "+$attack_speed"

// 断裂的生命之石
"DOTA_Tooltip_ability_item_lifespan_stone"							 "Shattered Vitalitystone"
"DOTA_Tooltip_ability_item_lifespan_stone_status_health"			 "+$status_health"

// 力量药瓶
"DOTA_Tooltip_ability_item_panduo_box"								 "Might Booster"
"DOTA_Tooltip_ability_item_panduo_box_Description"					 "<h1>Boost Physical DMG</h1>When armed, +%attack_increase% Physical Damage each round."
"DOTA_Tooltip_modifier_item_panduo_box"								 "Continuous gains Physical Damage."
"DOTA_Tooltip_modifier_item_panduo_box_Description"					 "+%dMODIFIER_PROPERTY_TOOLTIP% Physical Damage"

// 智力药瓶
"DOTA_Tooltip_ability_item_luxifu_box"								 "Arcane Booster"
"DOTA_Tooltip_ability_item_luxifu_box_Description"					 "<h1>Boost Magic DMG</h1>When armed, +%attack_increase% Magical Damage each round."
"DOTA_Tooltip_modifier_item_luxifu_box"								 "Continuous gains Magical Damage."
"DOTA_Tooltip_modifier_item_luxifu_box_Description"					 "+%dMODIFIER_PROPERTY_TOOLTIP% Magical Damage"

// 魔肤药瓶
"DOTA_Tooltip_ability_item_guduo_box"								 "armor Booster"
"DOTA_Tooltip_ability_item_guduo_box_Description"					 "<h1>Boost Magic armor</h1>When armed, +%armor_increase% Magic armor each round."
"DOTA_Tooltip_modifier_item_guduo_box"								 "Continuous gains Magical armor."
"DOTA_Tooltip_modifier_item_guduo_box_Description"					 "+%dMODIFIER_PROPERTY_TOOLTIP% Magical armor"

// 钢铁药瓶
"DOTA_Tooltip_ability_item_guxi_box"								 "Armor Booster"
"DOTA_Tooltip_ability_item_guxi_box_Description"					 "<h1>Boost Armor</h1>When armed, +%armor_increase% Armor each round."
"DOTA_Tooltip_modifier_item_guxi_box"								 "Continuous gains Armor."
"DOTA_Tooltip_modifier_item_guxi_box_Description"					 "+%dMODIFIER_PROPERTY_TOOLTIP% Armor"

// 咯系系魔盒
"DOTA_Tooltip_ability_item_kaxixi_box"								 "Haste Booster"
"DOTA_Tooltip_ability_item_kaxixi_box_Description"					 "<h1>Boost Attack Speed</h1>When armed, +%attackspeed_increase% Attack Speed each round."
