"DOTA_Tooltip_modifier_blind" "Blinded"
"DOTA_Tooltip_modifier_blind_Description" "Vision Loseted."
"DOTA_Tooltip_modifier_disarm" "Disarmed"
"DOTA_Tooltip_modifier_disarm_Description" "Cannot attack."
"DOTA_Tooltip_modifier_feared" "Terrized"
"DOTA_Tooltip_modifier_feared_Description" "Lost its control."
"DOTA_Tooltip_modifier_froze" "Frozen"
"DOTA_Tooltip_modifier_froze_Description" "Cannot move or attack."
"DOTA_Tooltip_modifier_hex" "Hex"
"DOTA_Tooltip_modifier_hex_Description" "Cannot attack or cast spells."
"DOTA_Tooltip_modifier_mute" "Locked"
"DOTA_Tooltip_modifier_mute_Description" "Cannot use items."
"DOTA_Tooltip_modifier_nightmare" "Sleeping"
"DOTA_Tooltip_modifier_nightmare_Description" "It is sleeping soundly."
"DOTA_Tooltip_modifier_root" "Rooted"
"DOTA_Tooltip_modifier_root_Description" "Cannot move."
"DOTA_Tooltip_modifier_silent" "Silenced"
"DOTA_Tooltip_modifier_silent_Description" "Cannot cast spells."
"DOTA_Tooltip_modifier_stun" "Stunned"
"DOTA_Tooltip_modifier_stun_Description" "Cannot move or attack."
"DOTA_Tooltip_modifier_taunted" "Taunted"
"DOTA_Tooltip_modifier_taunted_Description" "Forced attack."
"DOTA_Tooltip_modifier_tenacity" "Immunation"
"DOTA_Tooltip_modifier_tenacity_Description" "control Immune"
"DOTA_Tooltip_modifier_movespeed_alldeath" "Charging"
"DOTA_Tooltip_modifier_movespeed_alldeath_Description" "Faster and faster!"
"DOTA_Tooltip_modifier_cold_curse" "Freezing"
"DOTA_Tooltip_modifier_cold_curse_Description" "Slows movespeed and attack speed."
"DOTA_Tooltip_modifier_invincible" "Invulnerable"
"DOTA_Tooltip_modifier_invincible_Description" "Damage Immune."
"DOTA_Tooltip_modifier_ignite" "Ignited"
"DOTA_Tooltip_modifier_ignite_Description" "Takes damage over time."
"DOTA_Tooltip_modifier_evade" "Evasion"
"DOTA_Tooltip_modifier_evade_Description" "Can evade incoming attacks."
"DOTA_Tooltip_modifier_injury" "Vulnerable"
"DOTA_Tooltip_modifier_injury_Description" "Damage taken is increased by %dMODIFIER_PROPERTY_TOOLTIP%%%."
"DOTA_Tooltip_modifier_poison"						"Poisoned"
"DOTA_Tooltip_modifier_poison_Description"			"Takes damage over time."

// 局外成长Buff
"DOTA_Tooltip_modifier_external_attribute" "Mysterious Power"
"DOTA_Tooltip_modifier_external_attribute_Description" "Mysterious Power from the other dimensions:<br>+ %dMODIFIER_PROPERTY_TOOLTIP% Physical Damage<br>+ %dMODIFIER_PROPERTY_TOOLTIP% Magical Damage<br>+ %dMODIFIER_PROPERTY_TOOLTIP% Physical Resistance<br>+ %dMODIFIER_PROPERTY_TOOLTIP% Magical Resistance<br>+ %dMODIFIER_PROPERTY_TOOLTIP% Health<br>+ %dMODIFIER_PROPERTY_TOOLTIP% Mana<br>+ %dMODIFIER_PROPERTY_TOOLTIP% Health Regen<br>+ %dMODIFIER_PROPERTY_TOOLTIP% Attack Speed<br>+ %dMODIFIER_PROPERTY_TOOLTIP% Movement Speed"
