"AddInfo"		        "---"
"AddName"		        "Lostland Commander"
"LogoLabel"             "EOM Games"
"EomEmail"              "Mail：imagine@eomgames.net"
"Discord"               "https://discord.gg/faNXtFjY3T"
"DiscordInfo"           "Welcome Join Our Discord!"
"QQGroup1"              "https://jq.qq.com/?_wv=1027&k=pFo7SVW4"
"QQGroup1Info"          "Click to join Lostland Commander group (1042983502)"
"QQGroup2"              "https://jq.qq.com/?_wv=1027&k=HTeFUpU3"
"QQGroup2Info"          "Click to join Lostland Commander group (704471708)"

// loading
"Active_Code"	        "Please input exchange code"
"Connecting"            "Connecting"
"Connected"             "Connected"
"LoadingTip_1" 	        "Several same homeland/career of heroes unlock their powerful skills"
"LoadingTip_2" 	        "Each round heroes in hand can provide extra golds"
"LoadingTip_3" 	        "Summon cards into battlefield is allowed even if in BATTLE, so long as there is enough slot"
"LoadingTip_4" 	        "Level commander up at least 【8】 will receive a random Artifact"
"LoadingTip_5" 	        "Sometimes equipment adjustment can strengthen your team"
"LoadingTip_6" 	        "Utilize treasure box round to gain golds and crystals"
"LoadingTip_7" 	        "Using spell to keep alive"
"LoadingTip_8" 	        "Exchange items and hero cards with your teammates by black market"
"LoadingTip_9" 	        "Fight for next better gameplay"
"LoadingTip_10"         "Set lens angle and distance in Lens Settings in the left upper conner"
"LoadingTip_11"         "Boss will be strengthened due to alive monsters in each round"
"LoadingTip_12"         "Move cards together to level up"
"LoadingTip_13"         "Hero quality is NOT equal to its power"
"LoadingTip_14"         "Limit for heroes in hand is 【7】"
"LoadingTip_15"         "Move cards into battlefield to summon heroes"
"LoadingTip_16"         "Commander death reduce ♥,BOSS round failed reduce ♥♥;If Commander ♥ equal 0, player is defeated"
"LoadingTip_17"         "Be patient if get stuck, just have a short rest"

// 战前准备
"Ready_For_Battle"		        "Preparation"
"Ready_Finish"			        "Ready"
"Card_Group"			        "Card Group"
"Commander"				        "Commander"
"Courier"				        "COURIER"
"Random"				        "Random"
"Confirm"				        "Confirm"
"Cancle"				        "Cancle"
"ActivationCode"		        "Please input exchange code:"
"freecardgroup"					"All Random"
"defaultcardgroup1"				"Default card group 1"
"defaultcardgroup2"				"Default card group 2"
"defaultcardgroup3"				"Default card group 3"
"defaultcardgroup4"				"Default card group 4"
"defaultcardgroup5"				"Default card group 5"

// Loading
"Loading"		"Loading"

"CardSelectionTitel"	                    "Select a card"
"CardSelection_Close"	                    "Give up all"
"CardSelection_Close_Description"	        "Return <font color='#ffcc00'>50%</font> sale price of the most expensive card"
"CardSelection_GiveUpButton"	            "Give up all"
"CardSelection_Hidden"	                    "Fold"
"CardSelection_Hidden_Description"	        "Fold card page"
"CardSelection_Draw"	                    "Refresh"
"CardSelection_DrawFree"	                "Free({d:free_count})"
"CardSelection_Draw_Description"	        "（R）Refresh to recruit by gold"
"CardDrawRemaining_HeroCard_Title"	        "Remain pool for hero cards"
"CardDrawRemaining_HeroCard_Description"	"Unselected hero cards are removed from the pool temporarily, and the pool will be reset if 0 card remain or purchase any card"
"CardDrawRemaining_SpellCard_Title"	        "Remain pool for spells"
"CardDrawRemaining_SpellCard_Description"	"Unselected spells are removed from the pool temporarily, and the pool will be reset if 0 card remain or purchase any card"
"RefreshShop"	                            "Dice of fate"
"RefreshIcon_Detail"	                    "Refresh by dice of fate"
// "CardSelectionCD"	"Refresh left：{s:draw_cd}"
"CardSelectionCD"	                        "Click to refresh and recruit"
"CardSelection_Lucky_Description"	        "Lucky point：Consumed automatically while refresh cards and receive a free card"
"CardSelection_UpdatePoint_Description"	    "Counts left, increase over time"
"Free"	                                    "Free"
"CardDrawOption_AutoBuy"	                "Purchase same cards automatically"
"CardDrawOption_AutoUnify"	                "Level cards up automatically"
"CardSelectionAltClickTip"					"Tip : Press <font color='#00ccff'>Alt</font> and click hero card, remind your friends"

// Battle pass
// task
"TASK"                  "TASK"
"RecvReward"            "Receive"
"RecvSuccess"           "Receive success"
"Recved"                "Received already"
"pass5"                 "Victory {s:value} times in Round 5 in total"
"pass15"                "Victory {s:value} times in Round 15 in total"
"pass25"                "Victory {s:value} times in Round 25 in total"
"pass35"                "Victory {s:value} times in Round 35 in total"
"pass10"                "Victory {s:value} times in Round 10 in total"
"pass20"                "Victory {s:value} times in Round 20 in total"
"pass30"                "Victory {s:value} times in Round 30 in total"
"pass40"                "Victory {s:value} times in Round 40 in total"
"alive"                 "Keep alive {s:value} round in total"
"upgrade_item"          "Rank items up {s:value} times in total"
"upgrade_hero"          "Level heroes up {s:value} times in total"
"upgrade_commander"     "Level commander up {s:value} times in total"
"get_gold"              "Gain {s:value} gold in total"
"full_kill"             "All clear {s:value} round in total"
"use_spell_card"        "Use spells {s:value} times in total"
"open_box"              "Use open {s:value} treasure"

// item
"item_hero_exp"         "{s:hero_name} exp"
"item_70001"            "Hero Assistant"
