"succeed"						                    "Success"
"dota_hud_error_building_limit_reached"	            "Level commander up to raise limit"
"dota_hud_error_building_max"                       "Quantity limit in battlefield"
"dota_hud_error_ability_cant_upgrade_no_points"	    "Please click level-up button to learn skills"
"dota_hud_error_only_hero_can_use"	                "Only for heroes"
"dota_hud_error_no_enough_card"	                    "Insufficient cards"
"dota_hud_error_only_wave_gold"	                    "Only for treasure"
"dota_hud_error_no_key"	                            "Insufficient matched key"
"dota_hud_error_disabled_item"	                    "Unavailable item"
"dota_hud_error_need_target"	                    "Target required"
"dota_hud_error_not_enough_crystal"	                "Insufficient crystal"
"dota_hud_error_not_enough_gold"	                "Insufficient gold"
"dota_hud_game_not_ready_yet"	                    "Preparation stage"
"dota_hud_error_has_same_tower"	                    "Same hero in battlefield"
"dota_hud_error_sell_in_battleing"	                "No sale in battle"
"dota_hud_error_withdraw_in_battleing"	            "No recovery in battle"
"dota_hud_error_star_limit"	                        "Max level"
"dota_hud_error_only_can_cast_on_same_hero"	        "Only for same hero"
"dota_hud_error_only_can_not_cast"	                "Unable to cast"
"dota_hud_error_item_max"	                        "Full item"
"dota_hud_error_item_slot_error"	                "Error item slot"
"dota_hud_error_item_nil"	                        "Insufficient item"
"dota_hud_error_item_cant_exchange"					"Cant not exchange item"
"dota_hud_error_item_star_limit"	                "Max item rank"
"dota_hud_error_item_slot_not_unlock"	            "Locked item slot"
"dota_hud_error_draw_nothing"	                    "Empty pool"
"dota_hud_error_not_enough_mana"	                "Not enough mana"
"dota_hud_error_death"	                            "Death"
"dota_hud_error_cant_operate_in_battleeing"	        "Forbid Operations while in battle"
"dota_hud_error_not_unlock"	                        "Lock"
"dota_hud_error_hand_hero_card_max"	                "Hand limit, level commander or hero cards up"
"dota_hud_error_not_enough_cunsumable"	            "Insufficient consumables"
"dota_hud_error_not_enough_refreshcard"	            "Insufficient dice of fate"
"dota_hud_error_cunsumable_cd"	                    "Consumables prepared"
"dota_hud_error_use_when_battle"	                "Operate only in battle"
"dota_hud_error_cant_levelup_have_max"	            "Max level"
"dota_hud_error_hand_spell_card_kind_limit"	        "Spell limit"
"dota_hud_error_talent_reach_max_level"	            "Max talent level"
"dota_hud_error_group_card_count"	                "Save failed, card quantity exceed limit"
"dota_hud_error_group_card_count_min"	            "Save failed, card quantity not enough(AT LEAST 16)"
"dota_hud_error_not_have"				            "Not owned"
"dota_hud_error_treasure_not_enoght"	            "Insufficient treasure"
"dota_hud_error_treasure_open_erro"		            "Error while opening treasures"
"dota_hud_error_hero_repeat"			            "Repeat hero"

"error_not_data"				                    "No data"

// 难度解锁
"error_difficulty_type"			        "Type error"
"error_difficulty_lock"			        "Locked Difficulty"
"error_difficulty_lock_other"			"Locked due to other players"

// 7日首通
"error_day_numb"					    "Error Day"
"error_play7day_not_finish"			    "Not Complete"
"error_play7day_received"			    "Reward Received"

// 后台返回错误
"error_heroxp_token_not_enoght"			"Insufficient hero EXP"
"error_bp_recvall_shi_bai"				"Failure"
"error_bp_recv_mai_plus"				"Battlepass required"

"error_not_enough_moonstone"			"Not enough moon rock"
"error_not_enough_starstone"			"Not enough star stone"
"error_not_enough_stardust"			    "Not enough galaxy powder"
"error_not_enough_soulstone"			"Not enough galaxy powder"

"error_not_learn_preposition_talent"	"Premise talent not learned"
"error_need_use_point_count"			"Consume enough talent to unlock"
"error_need_use_point_count_val"		"Locked until use {s:val} talent"
"error_passive_talents_add"		        "Max passive talent level"
"error_talent_id"						"Error talent"
"error_talent_point_not_enough"			"Insufficient talent"
"error_already_max_level"				"Max talent level"
"error_talent_reset_not_need"			"No need to reset"

"error_not_have_courier"			    "Courier not owned"
"error_not_change"					    "Equiped"

"error_not_have_task"				    "Task expired"
"error_not_finished_task"			    "Task in progress"
"error_cant_recv_not_finished_task"	    "Completed task required"
"error_cant_recv_not_plus"			    "Battlepass required"

"ERR_SHOP_NEED_VIP"                     "Special welfare for Lostland PLUS"
"dota_hud_error_no_units_die"           "No death hero"
"error_not_have_card"                   "Hero card not owned "
"ERROR_BP_RECVALL_NULL"                 "Null reward"
"error_xp_not_enough"                   "Insufficient hero EXP, open treasure to get more"

"ERR_TASK_RECV_NOT_PLUS"                "Battlepass required"

"error_not_have_title"                  "Title not owned"

"ERROR_PLAYER_TALENT_MAX"               "Max talent level"

"CMDTALENT_LVLUP"                       "Level up"

"ERROR_PLAYER_TALENT_LEVEL_MAX"         "Max talent level"

// 聊天
"player_need_item_1"		"I need"
"player_need_item_2"		"help a"
"player_need_item_3"		"Oh my god ! come on a"
