"Discounts"                     "Hot"
"BattlePass"                    "BattlePass"
"MoonStore"                     "Moon rock"
"StarStore"                     "Star stone"
"SoulStore"                     "Galaxy powder"
"Source"                        "Resource"
"All"                           "All"
"BuyCountTitle"                 "Amount"
"MorePayMent"                   "More"
"SelectPaytypeTip"              "Select payment method"
"SweepCodePay"                  "Please scan the QR code"
"ReqPayLinkFaild"               "Fail to request link"
"pending"                       "Sending request"
"completed"                     "Complete"
"PayLinkCreateError"            "Order failed"
"PayLinkCreateError1000"        "Error for Alipay code"
"PayLinkCreateError2000"        "Error for Wechat code"
"PayLinkReCreate"               "Retry"
"PayCheckOrder"                 "Waitting for return request,click HERE to check order"
"QuickBuy"                      "Quick purchase"
"QuickBuyTip"                   "not enough, need more"
"VipExpire"                     "Continue until {s:d}/{s:m}/{s:y}"
"LimitCount"                    "Limit：{d:curcount}/{d:count}"
"LimitRefreshTimeTip"           "Refresh time："
"LimitBuyTip"                   "Purchase limit!"
"ProductNeedVip"                "Welfare for Lostland PLUS"
"FirstPay"                      "Double for first charge"
"CheckSuccess"                  "Check complete"
"CheckFail"                     "Fail to check"
"BUY_SUCCEND"                   "Success"
"USE_CDKEY"                     "Use exchange code"
"USE_CDKEY_SUCCESS"             "Exchange success"
// vip界面
"PermanentVip"                  "Permanent PLUS"
"IsPermanentVip"                "Permanent PLUS already"
"EOMVIPPLUS"                    "Lostland PLUS"
"EarnEveryDay"                  "Plus Privilege"
"EarnFreeDay"                   "Get RightNow"
"Subscribe"                     "Subscribe"
"Subscribe_AMonth"              "Subscribe one month"
"Subscribe_SixMonth"            "Subscribe half year"
"Subscribe_TwelveMonth"         "Subscribe permanent"
"Vip_Discount"                  "Discount for PLUS"
"VipDescription"                "Assistant for your gameplay in Lostland Commander, which can help you get lots of special welfare in the game world"
"Free"                      "Free"

"Earn_info"           "InfoPass EXP"
"Earn_bp"           "BattlePass Exp"
"Earn_draw"           "Init Draw"
"Earn_drop"           "Drop reward"
"Earn_day"           "Daily"
"Earn_week"           "Weekly"
"Limit_Limited"           "Limited"
"Free_get"           "Freely Get"

"BannerVipTip"      "Lostland PLUS, now in hot sale!"

"cdkey_description"	            "<font color='#80def6'>Exchange code</font><br> Input exchange code to receive gifts"
"stardust_description"	        "<font color='#80def6'>Galaxy powder</font><br></br> Rarest currency, can be used to exchange goods in Galaxy powder, collected by gameplay and treasure"
"starstone_description"	        "<font color='#80def6'>Star stone</font><br></br>Currency used in Star stone, collected by gameplay and treasure"
"moonstone_description"	        "<font color='#80def6'>Moon rock</font><br></br>Currency used in Moon rock, collected by gameplay and treasure"
"moonstone_description"         "<font color='#80def6'>Moon rock</font><br></br>Currency used in Moon rock, collected by gameplay and treasure"
"hero_common_xp_description"	"<font color='#80def6'>Global exp</font><br></br>Available for upgrading any hero card, collected by gameplay and treasure"


// GOTO Target Msg
"GotoTargetType_BuyVip"         "Special welfare for Lostland PLUS, leaving for more details?"
"GotoTargetType_BuyIngameitem"     "Inventory not enough, buy and use now?"
"GotoTargetType_BuyIngameitem_Tip"     "don't remind me again."
