"tutorial"					"Tutor"
"tutoriall"					"Tutor"
"TutorialBtn_Last"			"Last"
"TutorialBtn_Next"			"Next"

"tutorial_1"        "START"
"tutorial_1_des"    "● Select your COMMANDER <br></br>● Equip your COURIER and TITLE <br></br>● Select a suitable level, then game START!"
"tutorial_2"        "HERO"
"tutorial_2_des"    "● Recruit heroes by golds <br></br>● <font color='#f1ab41'>MOVE THE HERO</font> to summon it <br></br>● Move the hero to <font color='#f1ab41'>SALE</font> as the video show <br></br>● Same hero can level the hero up <br></br>● <font color='#f1ab41'>LEVEL UP COMMANDER</font> can summon more heroes <br></br>● <font color='#f1ab41'>Each round heroes in hand can provide extra golds</font>"
"tutorial_3"        "RELATIONSHIP"
"tutorial_3_des"    "● Several same homeland/career of heroes unlock their powerful skills <br></br>● <font color='#f1ab41'>HOMELAND</font> unlock the <font color='#f1ab41'>SECOND SKILL</font><br></br>● <font color='#f1ab41'>CAREER</font> unlock the <font color='#f1ab41'>THIRD SKILL</font><br></br>● Utilize variable heroes to build the team"
"tutorial_4"        "ITEM"
"tutorial_4_des"    "● <font color='#f1ab41'>MOVE THE ITEM</font> onto heroes to use it <br></br>● Level up heroes to use more items <br></br>● <font color='#f1ab41'>CLICK THE ITEM</font> to open reforge system <br></br>● Use crystal to <font color='#f1ab41'>REFORGE THE ITEM</font>, remember better next time! <br></br>● Item possibly <font color='#f1ab41'>RANK UP</font> by reforging"
"tutorial_5"        "SPELL"
"tutorial_5_des"    "● Get spells by crystal, and <font color='#f1ab41'>NO MORE THAN 4</font> kinds of spells is allowed at the same time <br></br>● If commander has enough mana, then <font color='#f1ab41'>MOVE THE CARD</font> to use it <br></br>● Using kinds of spells to meet variable CHALLENGES!"
"tutorial_6"        "BLACK MARKET"
"tutorial_6_des"    "● <font color='#f1ab41'>MOVE THE ITEM</font> to black market to SHARE it<br></br>● Unknown item appears randomly in black market <br></br>● Utilize black market and get helps from it <br></br>● <font color='#f1ab41'>Build your own team as you wish and fight to win! </font>"
