//大火球术
"DOTA_Tooltip_ability_sp_fireball"                                      "Maga Fireball"
"DOTA_Tooltip_ability_sp_fireball_Description"                          "Deals damage and stun to enemies.Damage reduced for Ancient units."
//"DOTA_Tooltip_ability_sp_fireball_Description"                          "Deals massive Magical Damage(%damage%+%damage_pct%%% max health pool) and stuns enemies %stun_duration% seconds. The damage is reduced for Ancient units."

//冻结
"DOTA_Tooltip_ability_sp_frozen"                                        "Freeze"
"DOTA_Tooltip_ability_sp_frozen_Description"                            "Freeze enemies for %duration% seconds."
//"DOTA_Tooltip_ability_sp_frozen_Description"                            "Freeze enemies within %radius% units range for %duration% seconds."

//生命之雨
"DOTA_Tooltip_ability_sp_peaceful"                                      "Rain of Vitality"
"DOTA_Tooltip_ability_sp_peaceful_Description"                          "Constantly regen HP in range %radius%"
//"DOTA_Tooltip_ability_sp_peaceful_Description"                          "Constantly regen HP in range %radius%."
"DOTA_Tooltip_modifier_sp_peaceful_aura"                                "Rain of Vitality"
"DOTA_Tooltip_modifier_sp_peaceful_aura_Description"                    "Constantly regen HP"

//牵引
"DOTA_Tooltip_ability_sp_upheavals"                                     "Traction"
"DOTA_Tooltip_ability_sp_upheavals_Description"                         "Pull enemy units toward center and deal damage to them"
// "DOTA_Tooltip_ability_sp_upheavals_Description"                         "Sucks %radius% enemy units in, dealing %damage_pct%%% of max health pool magic damage and stun %stun_duration% seconds. Cannot affect ancient units."
"DOTA_Tooltip_modifier_sp_upheavals_motion"                             "Traction"
"DOTA_Tooltip_modifier_sp_upheavals_motion_Description"                 "Pull enemy toward center"

//大灾变
"DOTA_Tooltip_ability_sp_cataclysm"                                     "Cataclysm"
"DOTA_Tooltip_ability_sp_cataclysm_Description"                         "Constantly damage and slow enemies"
// "DOTA_Tooltip_ability_sp_cataclysm_Description"                         "Constantly damage %damage_pct%%% of max health pool(ancient units%damage_pct_ancient%%%) and slow enemies %slow_move_speed%%% movespeed within its range %radius%."
"DOTA_Tooltip_modifier_sp_cataclysm_aura"                               "Cataclysm"
"DOTA_Tooltip_modifier_sp_cataclysm_aura_Description"                   "Constantly damage and slow movespeed"

//恐惧
"DOTA_Tooltip_ability_sp_fear"                                          "Terror"
"DOTA_Tooltip_ability_sp_fear_Description"                              "Terrorize enemies in range %radius%"
// "DOTA_Tooltip_ability_sp_fear_Description"                              "Terrorize %radius% enemies in %duration% seconds."
"DOTA_Tooltip_modifier_sp_fear_debuff"                                  "Additional damage by Terrorize"
"DOTA_Tooltip_modifier_sp_fear_debuff_Description"                      "+ %dMODIFIER_PROPERTY_TOOLTIP%%% damage taken"

//圣灵庇佑
"DOTA_Tooltip_ability_sp_invincible"                                    "Guardian Angel"
