"rattletrap"		"Minewerk"
"gyro"		"Bumblebee"
"shredderA"		"Shredder"
"tinker"		"Space Engineer"
"shredderB"		"Terminator"
"techies"		"Techies"
"razor"		"Thunder Rumbler"
"snapfire"		"Beatrix"
"sniper"		"Sniper"
"death_prophetA"		"Death Prophet"
"brewmaster_earthspirit"		"Earth"
"brewmaster_firespirit"		"Fire"
"brewmaster_windspirit"		"Air"
"ogre_med"		"Ogre Bruiser"
"orge_lrg"		"Ogre Lich"
"ogre_magi"		"Ogre Magi"
"lanaya"		"Templar Assassin"
"thunder_lizard"		"Ancient Thunderhide"
"puck"		"Faerie Dragon"
"satyr_spawn_a"		"Prowler Shaman"
"windrunner"		"Wind Ranger"
"drow"		"Dark Ranger"
"doomA"		"Doom"
"chaos_knight"		"Chaos Knight"
"shadowshaman"		"Shadow Shaman"
"huskar"		"Sacred Warrior"
"darkmoon_assassin"		"Darkmoon Assassin"
"naturecaller"		"Nature's Summoner"
"skywrath_mage"		"Emperor of Air"
"storm_spirit"		"Storm Spirit"
"earth_spirit"		"Earth Spirit"
"ember_spirit"		"Ember Spirit"
"void_spirit"		"Void Spirit"
"golemA"		"Granite Golem"
"golemB"		"Mud Golem"
"meepo"		"Geomancer Mob"
"ghost"		"Ancient Spirit"
"sven"		"Rogue Knight"
"juggernaut"		"Juggernaut"
"omniknight"		"Omniknight"
"legion_commander"		"Legion Commander"
"abyssal_underlord"		"Underlord"
"brewmaster"		"General Fey"
"kunkkaA"		"Captain Faith"
"golemC"		"Chaos Golem"
"oracle"		"Oracle"
"vengeful_spirit"		"Celestial Spirit"
"silencer"		"Silencer"
"koboldB"		"Kobold Thief"
"kunkkaB"		"Captain Undead"
"dragon_knight"		"General Han"
"keeper_of_the_light"		"Aged Apollo"
"shadow_demon"		"Asura"
"trainer_dragon"		"Puffy"
"mirana"		"Crescent Maid"
"luna"		"Luna"
"warlockA"		"Ferryman"
"grimstrokeA"		"Grimstroke"
"dazzle"		"Dazzle"
"koboldA"		"Kobold Foreman"
"death_prophetB"		"Yuki Onna"
"magnataur"		"Mammoth"
"earthshaker"		"Tauren"
"centaur"		"Centaur"
"anti_mage"		"Asteroid Hermit"
"batrider"		"Batrider"
"chen"		"Chen"
"bounty_hunter"		"Bounty Hunter"
"lina"		"Lina"
"faceless_void"		"Faceless Void"
"pangolier"		"Pangolier"
"succubi"		"Succubus"
"alchemist"	"Alchemist"
"disruptor"	"Stormcrafter"
"lycan"	"Lycan"
"druid"	"Verdant Druid"
"axe"	"Lord of Magma"
"dark_willow"	"Dark Willow"
"lich"	"Frost Lich"
"void_runner"	"Void Seer"
"riki"	"Riki"
"enigma"	"Enigma"
"spectre"	"Mercurial Reaper"
"skeleton_king" "Immortal King"
"pugna" "Ghost Mage"
"clinkz"    "Oath Protecter"
"skeleton_warrior"  "Skeleton Warrior"
"tui3_2" "Dire Creep (Ranged)"
"tui3_2_1" "Dire Creep (Tank)"
"tui3_3" "Dire Pumpkin Warrior"
"tui3_3_1" "Dire Creep (Ranged)"
"tui3_4" "Voodoo Ranger (Ranged)"
"tui3_5" "Centaur (Tank)"
"tui3_6" "Dire Pumpkin Warrior"
"tui3_6_1" "Gargoyle (Ranged)"
"tui3_7" "Gargoyle (Ranged)"
"tui3_7_1" "Voodoo Warrior (Tank)"
"tui3_8" "Voodoo Warrior (Tank)"
"tui3_8_1" "Voodoo Ranger (Ranged)"
"tui3_9" "Radiant Melee Creep"
"tui3_10" "Radiant Melee Creep"
"tui3_11" "Lizard Warrior"
"tui3_12" "Croco Warrior"
"tui3_13" "Rat Spearman (Ranged)"
"tui3_13_1" "Tested13 (tank)"
"tui3_14" "Desperate Stalker (Tank)"
"tui3_14_1" "Catapult (Ranged)"
"tui3_15" "Arcane Soldier"
"tui3_16" "Desperate Stalker (Tank)"
"tui3_17" "Croco Warrior"
"tui3_17_1" "Centaur (Tank)"
"tui3_18" "Rat Spearman (Ranged)"
"tui3_19" "Arcane Soldier"
"tui3_20" "Gargoyle"
"tui3_21" "Radiant Melee Creep"
"tui3_22" "Voodoo Soldier (Tank)"
"tui3_23" "Mole Miner (Tank)"
"tui3_23_1" "Boar (Ranged)"
"tui3_24" "Golbin Shield (Tank)"
"tui3_24_2" "Gargoyle"
"tui3_25" "Radiant Warrior"
"tui3_26" "Mole Miner (Tank)"
"tui3_26_1" "Golem (Tank)"
"tui3_27" "Twee"
"tui3_28" "Crypt Lord"
"tui3_28_1" "Lizard (Ranged)"
"tui3_29" "Radiant Warrior"
"tui3_30" "Radiant Warrior"
"tui3_31" "Golem (Tank)"
"tui3_32" "Desperate Stalker (Tank)"
"tui3_33" "Walker"
"tui3_34" "Croco Magi (Ranged)"
"tui3_34_1" "Giant Gargoyle"
"tui3_35" "Arcane Soldier"
"tui3_36" "Birdman"
"tui3_36_1" "Black Dragon (Ranged)"
