//--------------------------------------------------------------------------------------------------
// BOSS技能描述
"DOTA_Tooltip_modifier_boss" 				"王者之姿"
"DOTA_Tooltip_modifier_boss_Description"	"首领的属性增幅：<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 生命值<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 物理攻击力<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 魔法攻击力<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 物理防御力<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 魔法防御力"

"DOTA_Tooltip_ability_sk_1" "穿刺"
"DOTA_Tooltip_ability_sk_1_Description" "钻入地下后向目标前进,穿出地面时对上方的单位造成伤害和击晕"

"DOTA_Tooltip_ability_sk_2" "地震"
"DOTA_Tooltip_ability_sk_2_Description" "吟唱2秒，引发周围大地震，对周围的单位造成大量伤害"

"DOTA_Tooltip_ability_sk_3" "沙尘暴"
"DOTA_Tooltip_ability_sk_3_Description" "释放一个持续%duration%秒的沙尘暴，对在内的单位造成持续伤害，并有概率使其攻击丢失。"

"DOTA_Tooltip_ability_sk_4" "拍击"
"DOTA_Tooltip_ability_sk_4_Description" "钻入地下后使用尾巴拍击地面，期间自身受到的伤害减少%damage_reduce%%%，被击中的单位造成伤害。持续%duration%秒"

"DOTA_Tooltip_ability_sk_5" "强力扫尾"
"DOTA_Tooltip_ability_sk_5_Description" "用尾巴进行横扫打击，对单位造成伤害并将其震飞。"

"DOTA_Tooltip_ability_sk_8" "冲击波"
"DOTA_Tooltip_ability_sk_8_Description" "以自身为中心,向四周释放大量的冲击波,对击中的单位造成伤害和击退。"

"DOTA_Tooltip_ability_kingkong_1" "巨石"
"DOTA_Tooltip_ability_kingkong_1_Description" "金刚投掷出一个巨石砸向地面，对范围内的单位造成伤害和眩晕。"

"DOTA_Tooltip_ability_kingkong_2" "咆哮"
"DOTA_Tooltip_ability_kingkong_2_Description" "金刚发出咆哮声波，对其轨迹上的单位造成伤害。"

"DOTA_Tooltip_ability_kingkong_3" "呼唤"
"DOTA_Tooltip_ability_kingkong_3_Description" "召唤出野兽小兵来帮助它进行战斗。"

"DOTA_Tooltip_ability_kingkong_4" "恢复"
"DOTA_Tooltip_ability_kingkong_4_Description" "血量低于%trigger_pct%%%后，金刚进入治疗状态，持续%addon1%秒"

"DOTA_Tooltip_ability_kingkong_5" "狂暴"
"DOTA_Tooltip_ability_kingkong_5_Description" "血量低于%trigger_pct%%%后，金刚进入狂怒形态，大幅度增加攻击速度，攻击变成范围攻击并且会有击退效果。"

"DOTA_Tooltip_ability_kingkong_6" "冲撞"
"DOTA_Tooltip_ability_kingkong_6_Description" "金刚向一个方向发起冲撞，对路径上的单位造成伤害和击飞。"

"DOTA_Tooltip_ability_kingkong_7" "石头雨"
"DOTA_Tooltip_ability_kingkong_7_Description" "金刚施法释放石头雨，并召唤出野兽小兵。释放石头雨期间金刚处于无敌状态，当野兽小兵全部死亡后，石头雨会中断。"

"DOTA_Tooltip_ability_kingkong_8" "分身冲撞"
"DOTA_Tooltip_ability_kingkong_8_Description" "吟唱2秒后，以自身为中心向周围释放出四个分身进行冲撞，对路径上的单位造成伤害和击飞。"

