// 大法师
"cmd_beginner" 		"大法师"
"DOTA_Tooltip_ability_cmd_beginner_1" 				         "魔法精通"
"DOTA_Tooltip_ability_cmd_beginner_1_Description" 	         "友方英雄获得%magiatk_bonuspct%%%魔法攻击力提升"
"DOTA_Tooltip_ability_cmd_beginner_2" 				         "魔法再生"
"DOTA_Tooltip_ability_cmd_beginner_2_Description" 	         "友方英雄获得%manaregen_bonus%魔法回复速度提升"
"DOTA_Tooltip_ability_cmd_beginner_3" 				         "大火球术"
"DOTA_Tooltip_ability_cmd_beginner_3_Description" 	         "在远征开始时，获得%count%张法术卡【大火球术】"
"DOTA_Tooltip_ability_cmd_beginner_4" 				         "状态火热"
"DOTA_Tooltip_ability_cmd_beginner_4_Description" 	         "每释放一次伤害性法术，友方英雄攻击力获得%attack_pct%%%攻击力提升,直到回合结束"
"DOTA_Tooltip_cmd_beginner_1_buff" 				             "魔法精通"
"DOTA_Tooltip_cmd_beginner_1_buff_Description" 	             "魔法攻击力提升%dMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_cmd_beginner_2_buff" 				             "魔法再生"
"DOTA_Tooltip_cmd_beginner_2_buff_Description" 	             "魔法回复速度提升%dMODIFIER_PROPERTY_TOOLTIP%点"
"DOTA_Tooltip_modifier_cmd_beginner_4_buff" 				 "状态火热"
"DOTA_Tooltip_modifier_cmd_beginner_4_buff_Description" 	 "物理和魔法攻击力提升%dMODIFIER_PROPERTY_TOOLTIP%%%"

// 黄蜂原型机
"cmd_tinker" 		"黄蜂原型机"
"DOTA_Tooltip_ability_cmd_tinker_0" 				         "导弹攻击"
"DOTA_Tooltip_ability_cmd_tinker_0_Description" 	         "黄蜂原型机普通攻击变为导弹，在%aoe_range%码内造成%damage_factor%%%魔法攻击力的范围伤害"
"DOTA_Tooltip_ability_cmd_tinker_1" 				         "高品质机械"
"DOTA_Tooltip_ability_cmd_tinker_1_Description" 	         "每次远征中，英雄购买价格降低%srbuy_decpct%%%"
"DOTA_Tooltip_ability_cmd_tinker_2" 				         "荣耀"
"DOTA_Tooltip_ability_cmd_tinker_2_Description" 	         "游戏中，该指挥官升级需要的金币减少%upgrade_decpct%%%。"
"DOTA_Tooltip_ability_cmd_tinker_3" 				         "牵引器"
"DOTA_Tooltip_ability_cmd_tinker_3_Description" 	         "远征开始时获得%number%张法术卡【牵引】"
"DOTA_Tooltip_ability_cmd_tinker_4" 				         "多重导弹"
"DOTA_Tooltip_ability_cmd_tinker_4_Description" 	         "每次释放法术卡，指挥官额外发射%number%枚导弹"
"DOTA_Tooltip_ability_cmd_tinker_5" 				         "天生工程师"
"DOTA_Tooltip_ability_cmd_tinker_5_Description" 	         "【工程师】和【机甲】英雄，每释放3次主动技能，回复%mana_regen%点法力值"
"DOTA_Tooltip_ability_cmd_tinker_6" 				         "精打细算"
"DOTA_Tooltip_ability_cmd_tinker_6_Description" 	         "连续刷新招募英雄时，价格降低%golds_reduce%金币"
"DOTA_Tooltip_modifier_cmd_tinker_4_missles" 				 "多重导弹"
"DOTA_Tooltip_modifier_cmd_tinker_4_missles_Description" 	 "下次攻击发射%dMODIFIER_PROPERTY_TOOLTIP%枚导弹"
"DOTA_Tooltip_modifier_cmd_tinker_0"                         "导弹攻击"
"DOTA_Tooltip_modifier_cmd_tinker_0_Description"             "黄蜂原型机普通攻击变为导弹，造成范围伤害"
"DOTA_Tooltip_cmd_tinker_5_buff" 				             "天生工程师"
"DOTA_Tooltip_cmd_tinker_5_buff_Description" 	             "每使用3次耗蓝技能，回复%dMODIFIER_PROPERTY_TOOLTIP%点法力值"


// 秘岛守护者
"cmd_fur" 		"秘岛守护者"
"DOTA_Tooltip_ability_cmd_fur_1" 				         "木甲术"
"DOTA_Tooltip_ability_cmd_fur_1_Description" 	         "友方英雄获得%armor_bonus%点防御力提升"
"DOTA_Tooltip_ability_cmd_fur_2" 				         "荆棘缠绕"
"DOTA_Tooltip_ability_cmd_fur_2_Description" 	         "随机缠绕%count%个敌方单位，使其无法移动，每秒造成%damage_pct%%%指挥官攻击力伤害。"
"DOTA_Tooltip_ability_cmd_fur_2_abilityduration"         "持续时间："
"DOTA_Tooltip_ability_cmd_fur_3" 				         "最后的守护者"
"DOTA_Tooltip_ability_cmd_fur_3_Description" 	         "在远征开始时，获得%count%张法术卡【守护塔】"
"DOTA_Tooltip_ability_cmd_fur_4" 				         "橡木之心"
"DOTA_Tooltip_ability_cmd_fur_4_Description" 	         "友方英雄和指挥官获得%health_regen%生命恢复速度"
"DOTA_Tooltip_modifier_cmd_fur_1_buff" 				     "坚不可摧"
"DOTA_Tooltip_modifier_cmd_fur_1_buff_Description" 	     "防御力提升%dMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_modifier_cmd_fur_4" 				         "橡木之心"
"DOTA_Tooltip_modifier_cmd_fur_4_Description" 	         "友方英雄和指挥官获得%dMODIFIER_PROPERTY_TOOLTIP%生命恢复速度"
"DOTA_Tooltip_modifier_cmd_fur_1" 				         "木甲术"
"DOTA_Tooltip_modifier_cmd_fur_1_Description" 	         "友方英雄防御力提升"
"DOTA_Tooltip_modifier_cmd_fur_4_buff" 				         "橡木之心"
"DOTA_Tooltip_modifier_cmd_fur_4_buff_Description" 	         "友方英雄和指挥官获得%dMODIFIER_PROPERTY_TOOLTIP%生命恢复速度"

// 星辰之女
"cmd_enchantress" 		"星辰之女"
"DOTA_Tooltip_ability_cmd_enchantress_2" 				         "远程打击"
"DOTA_Tooltip_ability_cmd_enchantress_2_Description" 	         "所有远程英雄增加%attack_range_bonus%攻击距离。指挥官普攻造成的伤害与敌人每距离%distance%增加%atkbonuspct%%%"
"DOTA_Tooltip_modifier_cmd_enchantress_2_buff"				     "远程打击"
"DOTA_Tooltip_modifier_cmd_enchantress_2_buff_Description"	     "攻击距离提升%dMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_ability_cmd_enchantress_1" 				         "一个不留"
"DOTA_Tooltip_ability_cmd_enchantress_1_Description" 	         "战斗结束时，回合时间每剩余%interval%秒，获得%gold%金币"

// 蛮荒战将
"cmd_troll" 		"蛮荒战将"
"DOTA_Tooltip_ability_cmd_troll_1" 				         "热血战魂"
"DOTA_Tooltip_ability_cmd_troll_1_Description" 	         "所有英雄获得%attack_speed_bonus%攻击速度提升"
"DOTA_Tooltip_ability_cmd_troll_2" 				         "远程飞斧"
"DOTA_Tooltip_ability_cmd_troll_2_Description" 	         "指挥官每%attack_count%次普通攻击后会扔出飞斧，造成%damage_factor%%%攻击力的伤害，并在击中队友时增加%atkspd_bonus%攻速。"
"DOTA_Tooltip_modifier_cmd_troll_1_buff" 				 "热血战魂"
"DOTA_Tooltip_modifier_cmd_troll_1_buff_Description" 	 "攻击速度提升%dMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_modifier_cmd_troll_2_buff"				 "远程飞斧"
