"DOTA_Tooltip_modifier_star_indicator" 		"星级"
"DOTA_Tooltip_modifier_star_indicator_Description" "当前星级"

//大黄蜂
"DOTA_Tooltip_ability_gyro_1" "机枪弹幕"
"DOTA_Tooltip_ability_gyro_1_Description" "大黄蜂射出大量毒性弹幕，每发都会造成伤害并有概率使敌人中毒。\n<h1>中毒</h1>中毒单位每秒受到中毒层数*[60]的纯粹伤害。"
"DOTA_Tooltip_ability_gyro_1_physical2physical" "%弹幕伤害：物理攻击*"
"DOTA_Tooltip_ability_gyro_1_rockets_per_second" "弹幕数量："
"DOTA_Tooltip_ability_gyro_1_poison_chance"     "%中毒概率："
"DOTA_Tooltip_ability_gyro_1_range" "作用范围："
"DOTA_Tooltip_modifier_gyro_1_rocket"						"机枪弹幕"
"DOTA_Tooltip_modifier_gyro_1_rocket_Description"			"发射毒性弹幕"
"DOTA_Tooltip_ability_gyro_2" "毒性钉刺导弹"
"DOTA_Tooltip_ability_gyro_2_Description" "发射一颗飞行导弹，命中敌人后造成范围伤害并叠加中毒层数。\n<h1>中毒</h1>中毒单位每秒受到中毒层数*[60]的纯粹伤害。"
"DOTA_Tooltip_ability_gyro_2_radius" "作用范围："
"DOTA_Tooltip_ability_gyro_2_physical2physical" "%导弹伤害：物理攻击*"
"DOTA_Tooltip_ability_gyro_2_poison" "中毒层数："
"DOTA_Tooltip_ability_gyro_3" "毒针"
"DOTA_Tooltip_ability_gyro_3_Description" "每攻击数次就会发射一枚额外的毒性导弹，造成伤害并叠加中毒层数。\n<h1>中毒</h1>中毒单位每秒受到中毒层数*[60]的纯粹伤害。"
"DOTA_Tooltip_ability_gyro_3_require_count" "需要攻击次数："
"DOTA_Tooltip_ability_gyro_3_physical2physical" "%导弹伤害：物理攻击*"
"DOTA_Tooltip_ability_gyro_3_poison" "中毒层数："

//采矿智械
"DOTA_Tooltip_ability_rattletrap_1" "压力释放"
"DOTA_Tooltip_ability_rattletrap_1_Description" "采矿智械每次受伤会堆叠2层蒸汽压力，释放压力时获得短暂的生命值回复提升。"
"DOTA_Tooltip_ability_rattletrap_1_max_stack" "最大层数："
"DOTA_Tooltip_ability_rattletrap_1_regen_pct" "%生命回复提升：压力层数*"
"DOTA_Tooltip_ability_rattletrap_1_abilityduration" "持续时间："
"DOTA_Tooltip_modifier_rattletrap_1" "蒸汽压力"
"DOTA_Tooltip_modifier_rattletrap_1_Description" "受到伤害时堆叠蒸汽压力"
"DOTA_Tooltip_modifier_rattletrap_1_buff" "压力释放"
"DOTA_Tooltip_modifier_rattletrap_1_buff_Description" "每秒回复%fMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%%最大生命值"
"DOTA_Tooltip_ability_rattletrap_2" "发射勾爪"
"DOTA_Tooltip_ability_rattletrap_2_Description" "采矿智械向敌人发射勾爪，牵引到目标身边并对路径上的敌人造成伤害和晕眩。"
"DOTA_Tooltip_ability_rattletrap_2_physical2physical" "%勾爪伤害：物理攻击*"
"DOTA_Tooltip_ability_rattletrap_2_abilitycastrange" "最大距离："
"DOTA_Tooltip_ability_rattletrap_2_stun_duration" "晕眩时间："
"DOTA_Tooltip_modifier_rattletrap_2_motion"             "发射勾爪"
"DOTA_Tooltip_modifier_rattletrap_2_motion_Description" "冲鸭！"
"DOTA_Tooltip_ability_rattletrap_3" "机械战士"
"DOTA_Tooltip_ability_rattletrap_3_Description" "拥有多层提升物防的护甲，敌人每次攻击会使护甲脱落并射出多个高能弹片。<br><br>压力释放时护甲回复至最大层数"
"DOTA_Tooltip_ability_rattletrap_3_armor_per_stack" "物理防御提升：护甲层数*"
"DOTA_Tooltip_ability_rattletrap_3_max_stack" "最大护甲层数："
"DOTA_Tooltip_ability_rattletrap_3_armor_factor" "%高能弹片伤害：物理防御*"
"DOTA_Tooltip_ability_rattletrap_3_count" "高能弹片数量："
"DOTA_Tooltip_ability_rattletrap_3_Lore" "- 每个敌人每次至多只会被一个高能弹片打中"
"DOTA_Tooltip_modifier_rattletrap_3" "机械战士"
"DOTA_Tooltip_modifier_rattletrap_3_Description" "拥有额外%dMODIFIER_PROPERTY_TOOLTIP%点物理护甲。"

//垃圾粉碎机
"DOTA_Tooltip_ability_shredderA_1" "锯齿飞盘"
"DOTA_Tooltip_ability_shredderA_1_Description" "垃圾粉碎机的攻击会将主飞盘射向目标，造成100%的攻击伤害并对附近敌人持续造成伤害。"
"DOTA_Tooltip_ability_shredderA_1_physical2physical" "%主飞盘伤害：物理攻击*"
"DOTA_Tooltip_ability_shredderA_1_interval" "伤害间隔："
"DOTA_Tooltip_ability_shredderA_1_Lore" "- 垃圾粉碎机在主飞盘射出时无法普通攻击"
"DOTA_Tooltip_modifier_shredderA_1_disarm"						"锯齿飞盘"
"DOTA_Tooltip_modifier_shredderA_1_disarm_Description"			"使用主飞盘攻击，期间无法普通攻击"
"DOTA_Tooltip_ability_shredderA_2" "备用飞盘"
