// 物品品质
"DOTA_Custom_Rarity_Tooltip_1"	"(N)"
"DOTA_Custom_Rarity_Tooltip_2"	"(R)"
"DOTA_Custom_Rarity_Tooltip_3"	"(SR)"
"DOTA_Custom_Rarity_Tooltip_4"	"(SSR)"
"Item_RarityLevel"	"{s:rarity_level}"

//物品名字
"DOTA_Tooltip_ability_item_crystal"						"魂晶"
"DOTA_Tooltip_ability_item_builder_egg"					"小鸡金蛋"
"DOTA_Tooltip_ability_item_goldchest"					"大金币"
"DOTA_Tooltip_ability_item_staff_1"						"长老杖"
"DOTA_Tooltip_ability_item_physical_chainmail_1"		"银鳞甲"
"DOTA_Tooltip_ability_item_magical_cloak_1"				"绝缘斗篷"
"DOTA_Tooltip_ability_item_red_booster_1"				"红宝石"
"DOTA_Tooltip_ability_item_blue_booster_1"				"蓝宝石"
"DOTA_Tooltip_ability_item_gloves_1"					"加速手套"
"DOTA_Tooltip_ability_item_mask_1"						"恐怖面具"
"DOTA_Tooltip_ability_item_sealed_apotheosis_blade_1"	"被封印的封神之刃"
"DOTA_Tooltip_ability_item_apotheosis_blade_1"			"封神之刃"
"DOTA_Tooltip_ability_item_sealed_ring_of_disaster_1"	"被封印的灾星之戒"
"DOTA_Tooltip_ability_item_ring_of_disaster_1"		"	灾星之戒"
"DOTA_Tooltip_ability_item_quickening_1"				"翡翠吊坠"
"DOTA_Tooltip_ability_item_talisman_1"					"平安灵符"
"DOTA_Tooltip_ability_item_midas_1"						"迈达斯之手"
"DOTA_Tooltip_ability_item_aether_1"					"以太棱镜"
"DOTA_Tooltip_ability_item_horn_1"						"猛兽头角"
"DOTA_Tooltip_ability_item_angel_1"						"天使遗物"
"DOTA_Tooltip_ability_item_hyper_1"						"震颤宝石"
"DOTA_Tooltip_ability_item_guardian_boots_1"			"警卫靴"
"DOTA_Tooltip_ability_item_seerstone_1"					"洞察石"
"DOTA_Tooltip_ability_item_octarine_1"					"玲珑心"
"DOTA_Tooltip_ability_item_claw_1"						"魔童爪"
"DOTA_Tooltip_ability_item_stromhammer_1"				"雷霆锤"
"DOTA_Tooltip_ability_item_vampirefangs_1"				"嗜血獠牙"
"DOTA_Tooltip_ability_item_lesser_1"					"水晶剑"
"DOTA_Tooltip_ability_item_king_flag_1"					"君王旗帜"
"DOTA_Tooltip_ability_item_blademail_1"					"刃甲"
"DOTA_Tooltip_ability_item_necro_1"						"恶魔读本"
"DOTA_Tooltip_ability_item_king_staff_1"				"暴君权杖"
"DOTA_Tooltip_ability_item_obliterating_orb_1"			"抹灭法球"
"DOTA_Tooltip_ability_item_deso_1"						"寂灭"
"DOTA_Tooltip_ability_item_helm_of_undying_1"			"不朽头盔"
"DOTA_Tooltip_ability_item_crimsonrobe_1"				"灼烧斗篷"
"DOTA_Tooltip_ability_item_dagen_1"						"夺命魔法杖"
"DOTA_Tooltip_ability_item_mirror_1"					"漫射宝石"
"DOTA_Tooltip_ability_item_ring_of_aghanim_1"			"阿哈利姆法戒"
"DOTA_Tooltip_ability_item_bfuryaxe_1"					"狂战斧"
"DOTA_Tooltip_ability_item_craggycoat_1"				"崎岖铠甲"
"DOTA_Tooltip_ability_item_manta_axe_1"					"幻影斧"
"DOTA_Tooltip_ability_item_rapier_sword_1"				"圣剑"
"DOTA_Tooltip_ability_item_panicbutton_1"				"圣灯"
"DOTA_Tooltip_ability_item_endless_carnage_1"			"戮尽斗篷"

//效果字段
"DOTA_Tooltip_ability_item_axe_1_magical_attack"						"+$magical_attack"
"DOTA_Tooltip_ability_item_staff_1_magical_attack"						"+$magical_attack"
"DOTA_Tooltip_ability_item_physical_chainmail_1_physical_armor"			"+$physical_armor"
"DOTA_Tooltip_ability_item_magical_cloak_1_magical_armor"				"+$magical_armor"
"DOTA_Tooltip_ability_item_red_booster_1_status_health"					"+$status_health"
"DOTA_Tooltip_ability_item_blue_booster_1_status_mana"					"+$status_mana"
"DOTA_Tooltip_ability_item_gloves_1_attack_speed"						"+$attack_speed"

//Lore字段
"DOTA_CustomTooltip_common_item_lore"						"←拖动物品到英雄身上装备<br></br>●点击物品重铸"

//变量定义
"dota_ability_variable_physical_attack"						"物理攻击力"
"dota_ability_variable_magical_attack"						"魔法攻击力"
"dota_ability_variable_physical_armor"						"物理护甲"
"dota_ability_variable_magical_armor"						"魔法护甲"
"dota_ability_variable_physical_armor_pct"					"物理防御提升"
"dota_ability_variable_magical_armor_pct"					"魔法防御提升"
"dota_ability_variable_status_health"						"生命值"
"dota_ability_variable_status_mana"							"魔法值"
"dota_ability_variable_mana_regen"							"魔法恢复"
"dota_ability_variable_health_regen"						"生命恢复"
"dota_ability_variable_attack_speed"						"攻击速度"
"dota_ability_variable_attack_speed_percentage"				"攻速"
"dota_ability_variable_attack_miss"							"闪避"
"dota_ability_variable_attack_range_of_range"				"攻击范围（远程）"
"dota_ability_variable_movement_speed"						"移动速度"
"dota_ability_variable_attack_helf"							"攻击吸血"
"dota_ability_variable_attack_percentage"					"攻击提升百分比"
"dota_ability_variable_mana_regen_outgoing"					"伤害吸蓝"
"dota_ability_variable_physical_attack_pct"					"物理攻击提升"
"dota_ability_variable_magical_attack_pct"					"魔法攻击提升"
"dota_ability_variable_gold_earn"							"攻击获取金币"
"dota_ability_variable_magical_helf"						"魔法伤害吸血"
"dota_ability_variable_magical_crit_chance"					"魔法暴击概率"
"dota_ability_variable_magical_crit_damage"					"魔法暴击伤害"
"dota_ability_variable_crit_chance"							"普攻暴击概率"
"dota_ability_variable_crit_damage_pct"						"普攻暴击伤害"
"dota_ability_variable_health_regen_per"					"普攻回血"
"dota_ability_variable_creep_damage_bonus"					"对非精英怪伤害"
"dota_ability_variable_elit_damage_bonus"					"对精英伤害"

"dota_ability_variable_summon_attack_speed_pct"				"召唤随从攻速"
"dota_ability_variable_healthpct_bonus"                     "生命值上限"
"dota_ability_variable_health_regen_percentage"             "生命恢复增强"

//稻草人
 "DOTA_Tooltip_ability_item_scarecrow_1"								"稻草人"
 "DOTA_Tooltip_ability_item_scarecrow_1_description"					"佩戴者技能伤害提高%damage_pct%%%，但攻击力受到相同百分比惩罚 \n<h1>额外效果</h1> 移除攻击力降低惩罚  "
 "DOTA_Tooltip_ability_item_scarecrow_1_Lore"							"我是一个没有感情的技能机器"
 "DOTA_Tooltip_modifier_item_scarecrow_1"								"阿斯顿马丁"
 "DOTA_Tooltip_modifier_item_scarecrow_1_description"					"都开不起"

//物品格锁
 "DOTA_Tooltip_ability_item_lock_3"						"物品格锁"
 "DOTA_Tooltip_ability_item_lock_3_description"			"这个格子被锁定了，但它将在 3 级解锁。"
 "DOTA_Tooltip_ability_item_lock_3_Lore"				""
 "DOTA_Tooltip_ability_item_lock_5"						"物品格锁"
 "DOTA_Tooltip_ability_item_lock_5_description"			"这个格子被锁定了，但它将在 5 级解锁。"
 "DOTA_Tooltip_ability_item_lock_5_Lore"				""


// // // // // // // // // // // // // // // // // // // // 白装

// 砍柴斧
"DOTA_Tooltip_ability_item_axe"									  "砍柴斧"
"DOTA_Tooltip_ability_item_axe_crit_damage_pct"					  "%+$crit_damage_pct"
"DOTA_Tooltip_ability_item_axe_crit_chance"						  "%+$crit_chance"
"DOTA_Tooltip_ability_item_axe_physical_attack"					  "+$physical_attack"


// 力量手环
"DOTA_Tooltip_ability_item_strength_ring"							 "力量手环"
"DOTA_Tooltip_ability_item_strength_ring_physical_attack"			 "+$physical_attack"

// 智力法袍
"DOTA_Tooltip_ability_item_magical_ring"							 "智力法袍"
"DOTA_Tooltip_ability_item_magical_ring_magical_attack"				 "+$magical_attack"
"DOTA_Tooltip_ability_item_magical_ring_crit_chance"				 "%+$crit_chance"
"DOTA_Tooltip_ability_item_magical_ring_crit_damage_pct"			 "%+$crit_damage_pct"

// 力量手套
"DOTA_Tooltip_ability_item_strength_gloves"							 "力量手套"
"DOTA_Tooltip_ability_item_strength_gloves_physical_attack_pct"		 "%+$physical_attack_pct"
"DOTA_Tooltip_ability_item_strength_gloves_health_regen"		     "+$health_regen"
"DOTA_Tooltip_ability_item_strength_gloves_status_health"		     "+$status_health"

// 法强之戒
"DOTA_Tooltip_ability_item_magical_gloves"							 "法强之戒"
"DOTA_Tooltip_ability_item_magical_gloves_magical_attack_pct"		 "%+$magical_attack_pct"
"DOTA_Tooltip_ability_item_magical_gloves_mana_regen"		         "+$mana_regen"
"DOTA_Tooltip_ability_item_magical_gloves_status_mana"		         "+$status_mana"

// 吸血脸
"DOTA_Tooltip_ability_item_blood_suck"								 "吸血脸"
"DOTA_Tooltip_ability_item_blood_suck_description"					 "+%blood_suck%%%攻击吸血"

// 恢复戒指
"DOTA_Tooltip_ability_item_health_ring"								 "恢复戒指"
"DOTA_Tooltip_ability_item_health_ring_health_regen"				 "+$health_regen"

// 枫糖浆
"DOTA_Tooltip_ability_item_gold_hand"								 "枫糖浆"
"DOTA_Tooltip_ability_item_gold_hand_gold_earn"						 "+$gold_earn"
"DOTA_Tooltip_ability_item_gold_hand_description"		             "我，秦始皇，打钱"
"DOTA_Tooltip_modifier_item_gold_hand"								 "真甜！"
"DOTA_Tooltip_modifier_item_gold_hand_description"				     "甜了 %dMODIFIER_PROPERTY_TOOLTIP% 枚金币了"

// 恢复法戒
"DOTA_Tooltip_ability_item_mana_ring"								 "净化药瓶"
"DOTA_Tooltip_ability_item_mana_ring_mana_regen"					 "+$mana_regen"

// 小魔瓶
"DOTA_Tooltip_ability_item_tiny_magicbox"							 "小魔瓶"
"DOTA_Tooltip_ability_item_tiny_magicbox_description"				 "每回合开始战斗时获得 %mana_boost% 点魔法值。"
"DOTA_Tooltip_modifier_item_tiny_magicbox"							 "小魔瓶"
"DOTA_Tooltip_modifier_item_tiny_magicbox_description"				 "每回合开始战斗时获得 %dMODIFIER_PROPERTY_TOOLTIP% 点魔法值。"

// 闪避符
"DOTA_Tooltip_ability_item_evasion_talisman"						 "闪避符"
"DOTA_Tooltip_ability_item_evasion_talisman_evasion_pct"			 "%+$evasion"

// 巫毒面具
"DOTA_Tooltip_ability_item_voodo_mask"								 "巫毒面具"
"DOTA_Tooltip_ability_item_voodo_mask_magical_helf"					 "%+$magical_helf"
"DOTA_Tooltip_ability_item_voodo_mask_magical_attack"				 "+$magical_attack"

// 破碎的酒桶
"DOTA_Tooltip_ability_item_broken_cask"								 "破碎的酒桶"
"DOTA_Tooltip_ability_item_broken_cask_description"					 "%chance%%% 的概率格挡 %black_damage% 点物理伤害。"

// 破碎的护符
"DOTA_Tooltip_ability_item_broken_talisman"					         "破碎的护符"
"DOTA_Tooltip_ability_item_broken_talisman_description"		         "%chance%%% 的概率格挡 %black_damage% 点伤害。"
"DOTA_Tooltip_modifier_item_broken_talisman"		         "格挡"
"DOTA_Tooltip_modifier_item_broken_talisman_description"		         "概率格挡伤害"

// 伐木斧
"DOTA_Tooltip_ability_item_farm_axe"								 "伐木斧"
"DOTA_Tooltip_ability_item_farm_axe_physical_attack"				 "+$physical_attack"
"DOTA_Tooltip_ability_item_farm_axe_magical_attack"				     "+$magical_attack"
"DOTA_Tooltip_ability_item_farm_axe_extra_damage"				     "%+$creep_damage_bonus"

// 快速手套
"DOTA_Tooltip_ability_item_speed_hand"								 "快速手套"
"DOTA_Tooltip_ability_item_speed_hand_attack_speed"					 "+$attack_speed"

// 附魔板甲
"DOTA_Tooltip_ability_item_beast_skin"					             "附魔板甲"
"DOTA_Tooltip_ability_item_beast_skin_physical_armor"				 "+$physical_armor"
"DOTA_Tooltip_ability_item_beast_skin_magical_armor"				 "+$magical_armor"

// 抗魔斗篷
"DOTA_Tooltip_ability_item_magical_beast_skin"						 "抗魔斗篷"
"DOTA_Tooltip_ability_item_magical_beast_skin_magical_armor"		 "+$magical_armor"

// 敏捷之靴
"DOTA_Tooltip_ability_item_speedOf_shoe"							 "敏捷之靴"
"DOTA_Tooltip_ability_item_speedOf_shoe_movement_speed"				 "+$movement_speed"
"DOTA_Tooltip_ability_item_speedOf_shoe_attack_speed"				 "+$attack_speed"

// 断裂的恐鳌之戒
// "DOTA_Tooltip_ability_item_lifespan_stone"							 "断裂的恐鳌之戒"
// "DOTA_Tooltip_ability_item_lifespan_stone_status_health"			 "+$status_health"

// 力量药瓶
"DOTA_Tooltip_ability_item_panduo_box"								 "力量药瓶"
"DOTA_Tooltip_ability_item_panduo_box_Description"					 "<h1>力量滋长</h1>每佩戴一回合增加 %attack_increase% 点物理攻击力"
"DOTA_Tooltip_modifier_item_panduo_box"								 "物理攻击成长"
"DOTA_Tooltip_modifier_item_panduo_box_Description"					 "物理攻击提高 %dMODIFIER_PROPERTY_TOOLTIP%"

// 智力药瓶
"DOTA_Tooltip_ability_item_luxifu_box"								 "智力药瓶"
"DOTA_Tooltip_ability_item_luxifu_box_Description"					 "<h1>智力滋长</h1>每佩戴一回合增加 %attack_increase% 点魔法攻击力"
"DOTA_Tooltip_ability_item_luxifu_box_Description"					 "每佩戴一回合增加 %attack_increase% 点魔法攻击力"
"DOTA_Tooltip_modifier_item_luxifu_box"								 "魔法攻击成长"
"DOTA_Tooltip_modifier_item_luxifu_box_Description"					 "魔法攻击提高 %dMODIFIER_PROPERTY_TOOLTIP%"

// 魔肤药瓶
"DOTA_Tooltip_ability_item_guduo_box"								 "魔肤药瓶"
"DOTA_Tooltip_ability_item_guduo_box_Description"					 "<h1>魔防滋长</h1>每佩戴一回合增加 %armor_increase% 点魔法护甲"
"DOTA_Tooltip_modifier_item_guduo_box"								 "魔法护甲成长"
"DOTA_Tooltip_modifier_item_guduo_box_Description"					 "魔法护甲提高 %dMODIFIER_PROPERTY_TOOLTIP%"

// 钢铁药瓶
"DOTA_Tooltip_ability_item_guxi_box"								 "钢铁药瓶"
"DOTA_Tooltip_ability_item_guxi_box_Description"					 "<h1>物防滋长</h1>每佩戴一回合增加 %armor_increase% 点物理护甲"
"DOTA_Tooltip_modifier_item_guxi_box"								 "物理护甲成长"
