"DOTA_Tooltip_modifier_blind" "致盲"
"DOTA_Tooltip_modifier_blind_Description" "该单位失去视野"
"DOTA_Tooltip_modifier_disarm" "缴械"
"DOTA_Tooltip_modifier_disarm_Description" "该单位无法攻击"
"DOTA_Tooltip_modifier_feared" "恐惧"
"DOTA_Tooltip_modifier_feared_Description" "该单位不受控制"
"DOTA_Tooltip_modifier_froze" "冰冻"
"DOTA_Tooltip_modifier_froze_Description" "该单位被冻结"
"DOTA_Tooltip_modifier_hex" "妖术"
"DOTA_Tooltip_modifier_hex_Description" "该单位变成猪"
"DOTA_Tooltip_modifier_mute" "锁闭"
"DOTA_Tooltip_modifier_mute_Description" "该单位被禁用物品"
"DOTA_Tooltip_modifier_nightmare" "睡眠"
"DOTA_Tooltip_modifier_nightmare_Description" "该单位正在睡觉"
"DOTA_Tooltip_modifier_root" "缠绕"
"DOTA_Tooltip_modifier_root_Description" "该单位无法位移"
"DOTA_Tooltip_modifier_silent" "沉默"
"DOTA_Tooltip_modifier_silent_Description" "该单位无法施法"
"DOTA_Tooltip_modifier_stun" "晕眩"
"DOTA_Tooltip_modifier_stun_Description" "该单位无法行动"
"DOTA_Tooltip_modifier_taunted" "嘲讽"
"DOTA_Tooltip_modifier_taunted_Description" "该单位强制攻击目标"
"DOTA_Tooltip_modifier_tenacity" "韧性"
"DOTA_Tooltip_modifier_tenacity_Description" "该单位不受控制效果"
"DOTA_Tooltip_modifier_movespeed_alldeath" "冲锋"
"DOTA_Tooltip_modifier_movespeed_alldeath_Description" "冲鸭"
"DOTA_Tooltip_modifier_cold_curse" "寒冷诅咒"
"DOTA_Tooltip_modifier_cold_curse_Description" "攻速和移速被降低。"
"DOTA_Tooltip_modifier_invincible" "无敌"
"DOTA_Tooltip_modifier_invincible_Description" "不会受到任何伤害。"
"DOTA_Tooltip_modifier_ignite" "燃烧"
"DOTA_Tooltip_modifier_ignite_Description" "每秒受到伤害。"
"DOTA_Tooltip_modifier_evade" "闪避"
"DOTA_Tooltip_modifier_evade_Description" "闪避攻击。"
"DOTA_Tooltip_modifier_injury" "易伤"
"DOTA_Tooltip_modifier_injury_Description" "受到伤害加深%dMODIFIER_PROPERTY_TOOLTIP%%%。"
"DOTA_Tooltip_modifier_poison"						"中毒"
"DOTA_Tooltip_modifier_poison_Description"			"持续损失生命值"

// 局外成长Buff
"DOTA_Tooltip_modifier_external_attribute" "天赐神力"
"DOTA_Tooltip_modifier_external_attribute_Description" "源于神秘外次元的力量:<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 物理攻击<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 魔法攻击<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 物理防御<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 魔法防御<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 生命值<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 魔法值<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 魔法恢复<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 攻击速度<br>+ %dMODIFIER_PROPERTY_TOOLTIP% 移动速度"
"DOTA_Tooltip_modifier_enemy_gold" 		"宝箱怪"
"DOTA_Tooltip_modifier_enemy_gold_Description" 	"宝箱每死亡一次将会掉落金币和魂晶。"
