"AddInfo"		"---"
"AddName"		"秘境指挥官"
"LogoLabel"     "月之底游戏出品"
"EomEmail"      "邮箱：imagine@eomgames.net"
"Discord"       "https://discord.gg/faNXtFjY3T"
"DiscordInfo"   "join discord link"
"QQGroup1"      "https://jq.qq.com/?_wv=1027&k=pFo7SVW4"
"QQGroup2"      "https://jq.qq.com/?_wv=1027&k=l9612zeO"
"QQGroup1Info"      "点击加入官方QQ1群"
"QQGroup2Info"      "点击加入官方QQ2群"
"YYGroupInfo"       "加入YY频道找人开黑"
// "AddName"		"秘岛围攻"

// loading
"Active_Code"	"请输入激活码"
"Connecting"    "连接中。。。"
"Connected"     "已连接。"
"LoadingTip_1" 	"同一出生地/职业的英雄同时在场能够激活他们各自对应的技能"
"LoadingTip_2" 	"没有上场的手牌英雄每回合会为你提供金币"
"LoadingTip_3" 	"战斗开始后，仍然可以将手牌放入战场，前提是有足够人口"
"LoadingTip_4" 	"指挥官到达【8】级之后，升级指挥官能够获得随机神器"
"LoadingTip_5" 	"有时候重新调整装备会使你的战斗力大幅度提升"
"LoadingTip_6" 	"抓住打宝箱怪物的机会，可以使你走向人生巅峰"
"LoadingTip_7" 	"据说，合理使用法术卡能有效减少暴毙次数"
"LoadingTip_8" 	"将你不要的物品和英雄卡放入黑市商店，与队友们进行交换"
"LoadingTip_9" 	"失败了不要气馁，下一把运气更好"
"LoadingTip_10" "在左上角的镜头设置中设置镜头角度和距离"
"LoadingTip_11" "你没有杀死的怪物会献祭给BOSS，使BOSS更强大"
"LoadingTip_12" "将同种手牌拖放在一起可以合并堆叠"
"LoadingTip_13" "英雄品质并不能代表绝对战斗力"
"LoadingTip_14" "手牌英雄的上限是【7】个"
"LoadingTip_15" "按住ALT键切换姓名板显示，按住ALT键点击卡牌向队友求助"
"LoadingTip_16" "指挥官死亡扣♥，BOSS战失败扣♥♥，指挥官♥为0时，远征失败"
"LoadingTip_17" "据说，合理使用法术卡能有效减少暴毙次数"
"LoadingTip_18" "将你不要的物品和英雄卡放入黑市商店，与队友们进行交换"
"LoadingTip_19" "失败了不要气馁，下一把运气更好"
"LoadingTip_20" "在左上角的镜头设置中设置镜头角度和距离"
"LoadingTip_21" "右侧装备栏中的装备，可以拖动给英雄，点击选中后可以进行重铸"

// 战前准备
"Ready_For_Battle"		"战前准备"
"Ready_Finish"			"准备完成"
"Card_Group"			"卡组"
"Commander"				"指挥官"
"Courier"				"信使"
"Random"				"随机"
"Confirm"				"确定"
"Cancle"				"取消"
"ActivationCode"		"请输入激活码："
"freecardgroup"					"全卡随机"
"defaultcardgroup1"				"默认卡组1"
"defaultcardgroup2"				"默认卡组2"
"defaultcardgroup3"				"默认卡组3"
"defaultcardgroup4"				"默认卡组4"
"defaultcardgroup5"				"默认卡组5"

// Loading
"Loading"		"加载中..."

"CardSelectionTitel"	"请选择一张卡牌"
"CardSelection_Close"	"我全都不要"
"CardSelection_Close_Description"	"返回其中价格最高的卡牌<font color='#ffcc00'>50%</font>的价格"
"CardSelection_GiveUpButton"	"我全都不要"
"CardSelection_Hidden"	"隐藏"
"CardSelection_Hidden_Description"	"收起卡牌展示框"
"CardSelection_Draw"	"刷新"
"CardSelection_DrawFree"	"免费({d:free_count})"
"CardSelection_Draw_Description"	"（R）消耗金币刷新招募"
"CardDrawRemaining_HeroCard_Title"	"剩余英雄卡池"
"CardDrawRemaining_HeroCard_Description"	"未拿取的英雄卡会从卡池里暂时移除，拿取任意卡牌或者剩余英雄卡池为0时将会重置。"
"CardDrawRemaining_SpellCard_Title"	"剩余法术卡池"
"CardDrawRemaining_SpellCard_Description"	"未拿取的法术卡会从卡池里暂时移除，拿取任意卡牌或者剩余法术卡池为0时将会重置。"
"RefreshShop"	"命运骰子"
"RefreshIcon_Detail"	"消耗命运骰子刷新"
// "CardSelectionCD"	"即将刷新：{s:draw_cd}"
"CardSelectionCD"	"点击刷新招募英雄，手牌英雄提供回合金币"
"CardSelection_Lucky_Description"	"幸运点：在卡牌刷新时会自动消耗点数，获得1张免费卡牌。"
"CardSelection_UpdatePoint_Description"	"当前剩余的翻牌次数，随时间回复。"
"Free"	"免费"
"CardDrawOption_AutoBuy"	"自动购买已有卡牌"
"CardDrawOption_AutoUnify"	"自动升级相同卡牌"
"CardSelectionAltClickTip"		"Tip : 按下 <font color='#00ccff'>Alt</font> 点击卡牌, 提醒给队友"

// Battle pass
// task
"TASK"                  "任务"
"RecvReward"            "领取奖励"
"RecvSuccess"           "领取成功"
"Recved"                "已领取，不能重复领取！！！！！"
"pass5"                 "累计战胜第5关精英怪{s:value}次"
"pass15"                "累计战胜第15关精英怪{s:value}次"
"pass25"                "累计战胜第25关精英怪{s:value}次"
"pass35"                "累计战胜第35关精英怪{s:value}次"
"pass10"                "累计战胜第10关BOSS {s:value}次"
"pass20"                "累计战胜第20关BOSS {s:value}次"
"pass30"                "累计战胜第30关BOSS {s:value}次"
"pass40"                "累计战胜第40关BOSS {s:value}次"
"alive"                 "累计存活{s:value}关"
"upgrade_item"          "累计升级物品{s:value}次"
"upgrade_hero"          "累计升级英雄{s:value}次"
"upgrade_commander"     "累计升级指挥官{s:value}次"
"get_gold"              "累计获得{s:value}金币"
"full_kill"             "累计全清{s:value}关"
"use_spell_card"        "累计使用法术卡{s:value}关"
"open_box"              "累计打开{s:value}次宝箱"

// item
"item_hero_exp"         "{s:hero_name}经验"
"item_70001"            "英雄助战"
"item_70002"            "指挥官蓝药"
"item_80001"            "月石"
"item_80002"            "星石"
"item_90002"            "第1赛季BattlePass经验"

// 商城
"StoreSearch"           "输入商品名称搜索"
"soft_currency"         "测试的测试的物品"
"ExpireDate"            "{s:expire_date}到期"
"RechargeTip"           "充值未到账，请点击这里"
"PARAM_ITEM_COUNT_ERR"	"错误的物品数量"
"NOT_HAS_ITEM"	"意外的物品"
"NOT_SELLING"	"物品不在出售中"
"CONFIG_COUNT_ERR"	"物品数量错误"
"CONFIG_EXPEND_TYPE_ERR"	"支付方式错误"
"NOT_ENOUGH_MONEY"	"没有足够金币"
"BUY_ERR"	"购买失败"
"BUY_SUCCEND"	"购买成功"
"Store"		"商城"
"AllItem"       "全部"
"Hot"		    "热卖"
"BattlePass"    "战争通行证"
"TreasureBox"   "宝箱"
"IngameItem"    "消耗品"
"CourierEffect" "信使特效"
"Storehouse"		"仓库"
"BP"		"BATTLE PASS"
"hard"		"月石"
"soft"		"星石"
"Amount"    "金额"
"Buy"	"买"
"Confirm_Purchase"	"确认购买"

"Crystal_Description"	"魂晶"

"ActiveAbility"		"激活羁绊以解锁英雄技能"
"ActiveAbility2"	"按 <font color='#00ccff'>Alt</font> 点击图标，提醒给队友"
"TagTip"		"卡组里面没有这个英雄"

"DemoOptions_MinimizeButton"	"月之辅助"
"Other_ButtonCategory"			"其他"
"Warn_ButtonCategory"			"慎用功能-双击"
"ClearEnemy_Button"				"杀他全家"
"RespawnHero_Button"			"秽土转生"
"ReloadScript_Button"			"更新脚本"
"SetWinner_Button"				"直接基地"
"Restart_Button"				"免费重开    F5"
"NoWait_Button"					"不等了    J"
"Round_Button"					"跳关"
"RoundGo_Button"				" GO"
"Round_WaitInput"				"去哪？"
"DummyTarget_Button"			"替身"
"ClearDummy_Button"				"清除替身"
"UnitInput"						"单位名"
"CtrlUnit_Button"				"召唤"

"SettingsTitle"					"TUI3镜头设置"
"Settings_CameraDistance"		"镜头高度"
"Settings_CameraPitch"			"镜头俯仰"
"Settings_CameraYaw"			"镜头偏转"

"MainSettingPage"				"TUI3主界面"
// "Settings_CameraDistance"		"镜头高度"
// "Settings_CameraPitch"			"镜头俯仰"
// "Settings_CameraYaw"			"镜头偏转"

"HandbookTitle"	 "图鉴"
"HeroBookTitle"	 "英雄图鉴"
"CourierBookTitle"	 "信使图鉴"
"MonsterBookTitle"	 "怪物图鉴"

"SelectItemsTitle"					"请挑选一件装备"
"SelectItems_Hidden"				"收起"
"SelectItems_Hidden_Description"	"收起挑选框，晚些再选"
"SelectItems_GiveUp"				"全都不要"
"SelectItems_Refresh"				"重新选择({d:round_left})"
"SelectItemsTitle_Round"			"第{d:round}回合"
"TeamSelectItemsTitle"				"神器人人有"
"TeamSelectSpellCardTitle"			"挑选法术"

"Unitization_5"	"万"
"Unitization_7"	"百万"
"Unitization_8"	"千万"
"Unitization_9"	"亿"

"Custom_WaveGold"	"结算奖励：<panel class='CombatEventHeroIcon'/>"
"Custom_WaveGold_1"	"<font color='#ffd825'>★1st.	  </font>{s:player_name}：打箱伤害(<font color='#ff4800'>{s:locstring_value}{s:string_unit_of_measurement}</font>)(<font color='#ff4800'>{d:int_death_count}条命</font>)(<font color='#F4C14E'>{d:int_good}金币</font>)(<font color='#4ECECC'>{d:int_crystal}魂晶</font>)"
"Custom_WaveGold_2"	" 2nd.	  {s:player_name}：打箱伤害(<font color='#ff4800'>{s:locstring_value}{s:string_unit_of_measurement}</font>)(<font color='#ff4800'>{d:int_death_count}条命</font>)(<font color='#F4C14E'>{d:int_good}金币</font>)(<font color='#4ECECC'>{d:int_crystal}魂晶</font>)"
"Custom_WaveGold_3"	" 3rd.	  {s:player_name}：打箱伤害(<font color='#ff4800'>{s:locstring_value}{s:string_unit_of_measurement}</font>)(<font color='#ff4800'>{d:int_death_count}条命</font>)(<font color='#F4C14E'>{d:int_good}金币</font>)(<font color='#4ECECC'>{d:int_crystal}魂晶</font>)"
"Custom_WaveGold_4"	" 4th.	  {s:player_name}：打箱伤害(<font color='#ff4800'>{s:locstring_value}{s:string_unit_of_measurement}</font>)(<font color='#ff4800'>{d:int_death_count}条命</font>)(<font color='#F4C14E'>{d:int_good}金币</font>)(<font color='#4ECECC'>{d:int_crystal}魂晶</font>)"
"Custom_DividingLine"	"---------------------------------------------<panel class='CombatEventHeroIcon'/>"

"DOTA_HUD_DamagePhysical"			"物理攻击"
"DOTA_HUD_DamageMagical"			"魔法攻击"
"DOTA_HUD_DefensePhysical"			"物理防御"
"DOTA_HUD_DefenseMagical"			"魔法防御"

"Operate_Draw_Lable"	"(SPACE)打开抽卡"
"Operate_DrawCard_Description"	"(SPACE)打开抽卡界面"
"Operate_SharingShop"	"黑市商店"
"Operate_SharingShop_Description"	"(B)打开黑市商店<br></br><font color='#808080'>购买黑市装备或者将装备/英雄卡卖给其他玩家。</font>"
"Operate_LevelUp_Lable"	"(G)升级"
"Operate_LevelUp_Description"	"1~4：战场人口+1，手牌格位+1<br><\br>5~7：战场人口+1<br><\br>8  +：  每级获得随机神器<br><\br>额外：每级+5%税金收入"
"Operate_TaxInfomation_Show"	"下回合税金收入{d:tax_earn}"
"Operate_Tax_Show"	"+{d:tax_earn}/每回合"

"Operate_AutoUnifyCard"	"自动升级相同卡牌"
"Operate_CardSellTipLabel"			"拖此出售，返还50%"
"SellHeroCard"			"拖此出售，返50%"
"RecoverBuilding"		"拖此收回"
"Custom_Draw"	"{s:player_name} 抽取了 {s:string_unit_name}！"
"Share_Item"	"{s:player_name} 共享了 {s:string_item_name}！并获取了{d:gold_earn}枚魂晶！"
"MarketShare_Item"	"黑市商店刷新出了 {s:string_item_name}，各位勇士请前去购买"
"Buy_Share_Item"	"{s:player_name} 购买了共享物品 {s:string_item_name} ！！"
"Share_Card"	"{s:player_name} 共享了 {s:string_unit_name}！并获取了{d:gold_earn}枚金币！"
"Buy_Share_Card"	"{s:player_name} 购买了共享英雄 {s:string_unit_name} ！！"
"MarketShare_Full"	"黑市商店已达上限"
// boss回合
"Boss_Enhance"	"由于玩家漏怪，该BOSS被加强了 {s:boss_enhance} %！！"
"Boss_Kill"	"<font color='#FF0000'>{s:boss_name}</font> 被击杀，耗时<font color='#00FF00'>{s:boss_kill}</font>秒！{s:other}"
"Boss_Kill_1"	"我们还行吧！"
"Boss_Kill_2"	"有点东西。"
"Boss_Kill_3"	"牛啊~"
"Boss_Kill_4"	"秒了！！"
"Boss_Kill_5"	"还带这么玩？"
"Boss_Kill_6"	"差点没了。"
"Boss_Kill_7"	"能再辣点？"
"Boss_Kill_8"	"兄弟，看我伤害！"
"Boss_Kill_9"	"可以可以！"
// 消耗品使用
"Consumable_Use"	"玩家{s:player_name} 使用了 {s:Consumable_Use} ！！"



// top center 回合信息
"All_Kill_Rewards"	"全清奖励"
"Pass_Rewards"		"过关奖励"
"Round_Item_Rewards"	"掉落：{s:select_items}。可选项数量：{d:select_items_count}"
"Artifact"	"神器"
"Item"		"装备"
"Round"		"第{d:round}回合"
"Round_10001_Title"		"年兽挑战回合"


//回合面板
"GS_Ready"			"战前准备"
"GS_EpisodeBegin"	"章节开始"
"GS_Preparation"	"战斗准备"
"GS_Battle"			"战斗阶段"
"GS_BossBomb"		"战斗阶段"
"GS_Battle_EndWait"	"战斗结束"
"GS_Balance"		"游戏清算"
"RoundSwitch_BossRound"	"首领挑战"
"RoundSwitch_BossRoundBattleEnd"	"奖励"
"RoundSwitch_BattleEnd"	"奖励"
"RoundSwitch_ShowRound"	"第{d:round}回合"
"RoundSwitch_Win"	"怪物已被你打爆！"
"RoundSwitch_Lost"	"防御失败！首领更强大了！"
"RoundSwitch_GoldRoundWin"	"成功抓住宝箱怪"
"RoundSwitch_GoldRoundLost"	"宝箱怪带着金币溜走了"
"RoundSwitch_KillLabel"	"击杀：{d:kill}"
"RoundSwitch_NoKillLabel"		"漏怪：{d:no_kill}"
"RoundSwitch_RoundGoldLabel"	"回合奖励："
"RoundSwitch_RoundGoldLabel2"	"{s:round_gold}"
"RoundSwitch_TAXGoldLabel"		"手牌英雄提供税金："
"RoundSwitch_TAXGoldLabel2"		"{s:tax_gold}"
"RoundSwitch_CleanGoldLabel"	"全清奖励："
"RoundSwitch_CleanGoldLabel2"	"{s:clean_gold}"
"RoundSwitch_GoldLostLabel"		"损失金币："
"RoundSwitch_GoldLostLabel2"	"{s:lost_gold}"
"RoundSwitch_TotalGoldLabel"	"总计金币："
"RoundSwitch_TotalGoldLabel2"	"{s:total_gold}"
"RoundSwitch_TotalCrystalLabel"	"总计魂晶："
"RoundSwitch_TotalCrystalLabel2"	"{s:total_crystal}"
"RoundReadyLab"		"开始战斗!({d:ready_count}/{d:ready_max_count})"
"RoundReadyedLab"	"已准备"

"BuildingsRoundDamage"			"伤害统计"
"BuildingsRoundDamage_TogglePlayerRecordLabel"		"英雄"
"BuildingsRoundDamage_TogglePlayerRecordTeamLabel"	"玩家"
"HudButton_treasure"	"宝箱"


//游戏商店
"GameShopPanelTitle"		"装备栏"
"GameShopPanel_SwithBtn_Items"			"装备"
"GameShopPanel_SwithBtn_Heroes"			"英雄"
"GameShopPanel_SwithBody_HeroOperateBtn_BuyDescription"			"直接购买卡组中的英雄"
"GameShopPanel_SwithBody_HeroOperateBtn_Buy"			"购买"
"GameShopPanel_SwithBody_HeroOperateBtn_BuyNoChoose"	"请先选择英雄"
"GameShopPanel_SwithBodys_Funtion1_Prompt"			"花费魂晶升级武器品质"
"GameShopPanel_SwithBodys_Funtion2_Prompt"			"花费魂晶重铸物品"
"GameShopPanel_Item_Remake_Cost_Description"        "重铸为其他装备，并有{d:chance_upgrade}%概率提升品质。"
"GameShopPanel_LockLabel"		"在第{d:unlock_round}回合解锁。"
"GameShopPanel_ChooseItem"		"请先选择装备"

"GameShopPanel_LevelUp"		"升级"
"GameShopPanel_Remake"		"重铸"

"GameShopPanel_SwithBodys_Funtion1_Shortcut"		"请先选择装备"
"GameShopPanel_LockLabel"		"在第{d:unlock_round}回合解锁。"

"GameShopPanel_LevelUp_CostTotal"		"消耗"
"GameShopPanel_LevelUp_MaxLevel_Label"		"已满级"

//共享商店
"SharingShopTitle"		"黑市"
"MarketMerchance"		"黑市商人"
"SharingShopOutLineItemname"		"物品"
"SharingShopOutLineOwner"		"共享者"
"SharingShopOutLineOption"		"选项"
"SharingShop_Buy"		"购买"


// 出生岛
"Birthplace_ReadyBtn"	"准备"
"Endless_heroaffix"	    "词条:"
"Unlock_Tag"	    "解锁羁绊"
"Endless_heroaffix_desription"	    "挑战无尽轮回时会获得额外的词条效果。<br>词条效果每3天刷新一次。<br>下次词条刷新时间：{s:affixrefresh_time}。"
"Birthplace_Difficulty_1"	"序  章-准备启程（{d:count}）"  //30关 解锁基础玩法，无法术卡
"Birthplace_Difficulty_2"	"第一章-魔王现世（{d:count}）" //40关 解锁10关，解锁法术卡
"Birthplace_Difficulty_3"	"第二章-征召号角（{d:count}）" //40关 解锁重铸装备
"Birthplace_Difficulty_4"	"第三章-能工巧匠（{d:count}）" //40关 解锁黑市商品
"Birthplace_Difficulty_5"	"第四章-英雄远征（{d:count}）" //40关 解锁购买神器
"Birthplace_Difficulty_6"	"第五章-神器择主（{d:count}）" //40关 增加随机小怪词缀
"Birthplace_Difficulty_7"	"第六章-怪物强袭（{d:count}）" //40关 增加新BOSS
"Birthplace_Difficulty_8"	"第七章-天降神兵（{d:count}）" //40关 增加战中换阵（新系统）
"Birthplace_Difficulty_9"	"第八章-秘境围攻（{d:count}）" //40关 增加随机BOSS词缀
"Birthplace_Difficulty_10"	"第九章-王者归来（{d:count}）" //50关 增加战中换阵（新系统）
"Birthplace_Difficulty_11"	"噩  梦（{d:count}）" //50关 增加战中换阵（新系统）
"Birthplace_Difficulty_12"	"炼  狱（{d:count}）" //50关 增加战中换阵（新系统）
"Birthplace_Difficulty_13"	"扭曲深渊（{d:count}）" //50关 增加战中换阵（新系统）
"Birthplace_CardMode"		"模式选择："
"Birthplace_CardMode_All"	"全卡"
"Birthplace_CardMode_DIY"	"组卡"
"PlayerHealth_Wait"			"未准备......"
"PlayerHealth_Ready"		"已准备"
"Birthplace_LaoDaiXin"		"【<font color='#ffec4e'>老带新</font>】<font color='#16d157'>获胜奖励</font>仍按 <font color='#30a0c3'>“{s:difficulty}”</font> 结算，今日上限（<font color='#30a0c3'>{d:cur}/{d:max}</font>）"

// 英雄手牌
"HeroCardSlot_ResetLabel"   "拖此收回"

//难度信息
"DifficultyLabel"			"游戏难度：{s:difficulty}"
"Difficulty_0"				"无尽轮回"
"Difficulty_0_Layer"		"无尽轮回：{d:layer}层"
"Difficulty_1"	"序  章-准备启程"  //30关 解锁基础玩法，无法术卡
"Difficulty_2"	"第一章-魔王现世" //40关 解锁10关，解锁法术卡
"Difficulty_3"	"第二章-征召号角" //40关 解锁重铸装备
"Difficulty_4"	"第三章-能工巧匠" //40关 解锁黑市商品
"Difficulty_5"	"第四章-英雄远征" //40关 解锁购买神器
"Difficulty_6"	"第五章-神器择主" //40关 增加随机小怪词缀
"Difficulty_7"	"第六章-怪物强袭" //40关 增加新BOSS
"Difficulty_8"	"第七章-天降神兵" //40关 增加战中换阵（新系统）
"Difficulty_9"	"第八章-秘境围攻" //40关 增加随机BOSS词缀
"Difficulty_10"	"第九章-王者归来" //50关 增加战中换阵（新系统）
"Difficulty_11"	"噩  梦" //50关 增加战中换阵（新系统）
"Difficulty_12"	"炼  狱" //50关 增加战中换阵（新系统）
"Difficulty_13"	"扭曲深渊" //50关 增加战中换阵（新系统）
"DifficultyInfo_game_over_round"		"关卡回合"
"DifficultyInfo_battlepassexp"			"战争通行证经验"
"DifficultyInfo_playerexp"				"档案经验"
"DifficultyInfo_creep_skills"			"怪物技能"
"DifficultyInfo_creep_skills_1"			"有"
"DifficultyInfo_creep_skills_0"			"无"
"DifficultyInfo_contract"				"契约挑战"
"DifficultyInfo_contract_1"				"有"
"DifficultyInfo_contract_0"				"无"
"DifficultyInfo_nian"					"年兽出没概率"
"DifficultyInfo_all_random"			"卡池模式"
"DifficultyInfo_all_random_1"			"全卡池随机"
"DifficultyInfo_all_random_0"			"自组卡"
"DifficultyReward_First"				"首通"
"DifficultyReward_Repet"				"重复"

// 游戏结算
"GameOver_Win"		"胜利"
"GameOver_Lose"		"失败"
"GameOver_Reward"		"奖励"
"GameOver_NextLevelReward"		"下一档案等级奖励"
"GameOver_OK"		"确认"
"GameOver_returnlast"		"团队结算"
"GameOver_returnnext"		"查看奖励"
"GameOver_Heroes"		"英雄成长"
"GameOver_Chest"		"开宝箱"
"GameOver_Shop"		"前往商店"
"GameOver_Close"		"结算"
"GameOver_Suggesstion"		"反馈"
"GameOver_ConfirmFeedBack"		"提交"
"GameOver_BadSubmit"		"请先选择一个反馈哦^V^^V^^V^"
"GameOver_SucceedSend"		"提交反馈成功~谢谢您的建议，我们会继续努力！！"
"GameOver_NoKilledBoss"		"未完成击杀"
"GameOver_HighestDamage"		"最高伤害"
"GameOver_CardGrow"				"英雄成长"
"GameOver_BossKilledTime"		"首领击杀时间"
"GameOver_MaxChestDamage"		"最高宝箱伤害"
"GameOver_MaxChestLayers"		"最高宝箱层数"
"GameOver_MaxGoldEarned"		"总金币获取"
"FeedBack_Prompt"		"您的每一条反馈我们都会认真阅读，恳请分享您对游戏的任何看法。"
"GameOverTeamBalance_Rank"		"排名"
"GameOverTeamBalance_Player"		"玩家"
"GameOverTeamBalance_Cmd"		"指挥官"
"GameOverTeamBalance_Courier"		"信使"
"GameOverTeamBalance_Wealth"		"总财产"
"GameOverTeamBalance_Mvp"		"最高伤害值"
"GameOverTeamBalance_Chest"		"宝箱伤害"
"GetPassReward"		"领取奖励"
"TalentReward"		"升级天赋"


// 属性面板
"STATS_All"			"全属性"
"STATS_OTHER"		"额外属性"
"STATS_HP"			"生命值"
"STATS_PhyOutDamage"			"造成物理伤害："
"STATS_MgcOutDamage"			"造成魔法伤害："
"STATS_PureOutDamage"			"造成纯粹伤害："
"STATS_PhyInDamage"				"承受物理伤害："
"STATS_MgcInDamage"				"承受魔法伤害："
"STATS_PureInDamage"			"承受纯粹伤害："

"PlusBonusStartCard"    "秘境PLUS初始额外"

"ContractTitle"		"猎杀契约"
"ContractButton"		"(C)打开猎杀契约"
"ContractButtonDescription"		"可以接受特殊的猎杀契约，完成契约挑战来获取对应奖励"
"ContractComingSoon"		"即将到来"
"ContractOngoing"		"正在猎杀"
"ContractCompleted"		"契约完成"
"ContractFailed"		"契约失败"
"ContractCompletedCount"	"已完成{d:completed_contract_count}次契约"
"ContractRefreshInfo"	"{d:next_free_refresh_round}回合后重置契约强化等级并刷新"
"ContractContinuousRefreshInfo"	"已强化{d:continuous_refresh_count}次"
"ContractStartRefresh"	"召唤"
"ContractStartRefreshDescription"	"召唤契约，开启挑战"
"ContractRefresh"	"强化"
"ContractRefreshDescription"	"强化契约等级，刷新契约怪物并提高奖励水平。（请谨慎强化）"
"ContractFreeRefreshDescription"	"拥有{d:free_refresh_points}次免费刷新契约机会"
"ContractFreeRefresh"	"免费({d:free_refresh_points})"
"ContractBountyGoldDescription"	"奖励{d:bounty_gold}金币"
"ContractBountyCrystalDescription"	"奖励{d:bounty_crystal}魂晶"
"ContractReward"	"奖励"
"ContractMonsterDescription"	"生命值：{d:r:health}<br>物理攻击：{d:r:physical_attack}<br>魔法攻击：{d:r:magical_attack}<br>物理防御：{d:r:physical_armor}<br>魔法防御：{d:r:magical_armor}<br><br><font color='#ffffff'>实际属性还会受到难度加成</font>"
"ContractNoContract"	"点击召唤开始猎杀契约"
