"succeed"						"成功"

"dota_hud_error_only_can_cast_on_building"	"只能对士兵使用"
"dota_hud_error_building_limit_reached"	"升级指挥官提升战场人口数量"
"dota_hud_error_building_max"   "战场人口已经到达上限"
"dota_hud_error_ability_cant_upgrade_no_points"	"请点击技能上方的升级按钮来学习技能"
"dota_hud_error_cant_open_shop"	"请选中召唤大法师来购买物品"
"dota_hud_error_only_hero_can_use"	"只有英雄才能使用"
"dota_hud_error_cant_build_at_location"	"不能在此建造"
"dota_hud_error_only_first_solt"	"请将置换的卡片放在第一格物品栏"
"dota_hud_error_no_enough_card"	"卡片数量不足"
"dota_hud_error_only_wave_gold"	"只能对宝箱使用"
"dota_hud_error_no_key"	"没有匹配的钥匙"
"dota_hud_error_only_building_can_use"	"只有士兵才能使用"
"dota_hud_error_disabled_item"	"该物品无法使用"
"dota_hud_error_need_target"	"需要先选择目标"
"dota_hud_error_target_consumed_moon_shard"	"目标已经吞噬过银月之晶"
"dota_hud_error_can_not_take_others_own_item"	"无法拿起 共享区域外 他人的物品"
"dota_hud_error_unqualified_unit"	"该单位星级不足，尚不能装备此物品的资格"
"dota_hud_error_not_enough_crystal"	"魂晶不足"
"dota_hud_error_not_enough_gold"	"金币不足"
"dota_hud_game_not_ready_yet"	"游戏未开始"
"dota_hud_error_secret_shop_not_in_range"	"需要在魂晶商店购买(在商店左侧列表)"
"dota_hud_error_has_same_tower"	"你场上已存在此类单位"
"dota_hud_error_sell_in_battleing"	"战斗阶段无法出售"
"dota_hud_error_withdraw_in_battleing"	"战斗阶段无法收回"
"dota_hud_error_star_limit"	"英雄喂养星级达到上限"
"dota_hud_error_only_can_cast_on_same_hero"	"只能喂养同类型的英雄"
"dota_hud_error_only_can_not_cast"	"无法释放"
"dota_hud_error_item_max"	"装备栏爆满"
"dota_hud_error_item_slot_error"	"错误装备槽"
"dota_hud_error_item_nil"	"物品不存在"
"dota_hud_error_item_cant_exchange"	"无法共享该物品"
"dota_hud_error_item_Full"	"手牌已满"
"dota_hud_error_item_star_limit"	"物品星级达到上限"
"dota_hud_error_item_slot_not_unlock"	"物品格未解锁"
"dota_hud_error_item_cant_give_other"	"物品不能装备给他人"
"dota_hud_error_draw_nothing"	"卡池空了"
"dota_hud_error_not_enough_mana"	"魔法值不足"
"dota_hud_error_death"	"死亡"
"dota_hud_error_cant_operate_in_battleeing"	"战斗时无法操作"
"dota_hud_error_not_unlock"	"该功能未解锁"
"dota_hud_error_hand_hero_card_max"	"手牌已满，升级指挥官或者将同名英雄卡拖放在一起喂养升级"
"dota_hud_error_not_enough_cunsumable"	"消耗品数量不足"
"dota_hud_error_not_enough_refreshcard"	"命运骰子数量不足"
"dota_hud_error_cunsumable_cd"	"消耗品冷却中..."
"dota_hud_error_use_when_battle"	"仅限战斗时使用"
"dota_hud_error_cant_levelup_have_max"	"达到巅峰无法提升"
"dota_hud_error_hand_spell_card_kind_limit"	"拥有的法术卡种类达到上限"
"dota_hud_error_talent_reach_max_level"	"该天赋已升直满级"
"dota_hud_error_group_card_count"	"保存失败，卡组卡牌数量过多"
"dota_hud_error_group_card_count_min"	"保存失败，卡组卡牌数量不足（至少16张）"
"dota_hud_error_not_have"				"尚未拥有"
"dota_hud_error_treasure_not_enoght"	"宝箱不足"
"dota_hud_error_treasure_open_erro"		"宝箱打开时出现错误"
"dota_hud_error_treasure_open_success"	"开箱成功"
"dota_hud_error_hero_repeat"			"英雄重复"
"dota_hud_error_has_ongoing_contract"	"有正在进行的契约"

"error_not_data"				"无数据"

// 难度解锁
"error_difficulty_type"			"难度类型错误"
"error_difficulty_lock"			"难度未解锁"
"error_difficulty_lock_other"			"其他玩家未解锁"

// 7日首通
"error_day_numb"					"错误天数"
"error_play7day_not_finish"			"未完成"
"error_play7day_received"			"已经领取过奖励"

// 后台返回错误
"error_heroxp_token_not_enoght"			"英雄经验不足"
"error_bp_recvall_shi_bai"				"一键领取失败"
"error_bp_recv_mai_plus"				"需要高级战争通行证"

"error_not_enough_moonstone"			"没有足够的月石"
"error_not_enough_starstone"			"没有足够的星石"
"error_not_enough_stardust"			    "没有足够的星辉"
"error_not_enough_soulstone"			"没有足够的魂石"

"error_not_learn_preposition_talent"	"未学习前置天赋"
"error_need_use_point_count"			"未达到消耗天赋点额度"
"error_need_use_point_count_val"		"使用达到 {s:val} 点天赋点后可解锁"
"error_passive_talents_add"		        "被动天赋等级已满"
"error_talent_id"						"错误天赋ID"
"error_talent_point_not_enough"			"天赋点不足"
"error_already_max_level"				"天赋等级已满"
"error_talent_reset_not_need"			"无需重置"

"error_not_have_courier"			"未拥有该信使"
"error_not_change"					"已装备"

"error_not_have_task"				"不存在的任务"
"error_not_finished_task"			"任务未完成"
"error_cant_recv_not_finished_task"	"任务未完成，无法领取奖励"
"error_cant_recv_not_plus"			"需要高级战争通行证"

"ERR_SHOP_NEED_VIP"         "该商品为秘境PLUS福利"
"dota_hud_error_no_units_die"      "没有英雄阵亡"
"error_not_have_card"    "还没有获得该英雄卡片"
"ERROR_BP_RECVALL_NULL" "没有可以领取的奖励"
"error_xp_not_enough"   "英雄经验不足，开启英雄宝箱获取更多英雄经验"

"ERR_TASK_RECV_NOT_PLUS"    "需要高级战争通行证"

"error_not_have_title"  "您还没有获得该称号"

"ERROR_PLAYER_TALENT_MAX" "该天赋已升至满级"

"CMDTALENT_LVLUP"   "天赋升级成功"

