"Discounts"     "热卖"
"BattlePass"    "超值"
"MoonStore"   "月石商店"
"StarStore"          "星石商店"
"SoulStore"          "星辉商店"
"Source"        "资源"
"All"           "全部"
"BuyCountTitle" "购买数量"
"MorePayMent"   "更多支付方式"
"SelectPaytypeTip" "请选择支付方式"
"SweepCodePay"     "请扫码支付"
"ReqPayLinkFaild"   "请求链接失败"
"pending"           "支付中。。。"
"completed"         "购买完成！"
"PayLinkCreateError" "订单创建失败"
"PayLinkCreateError1000" "支付宝二维码创建失败"
"PayLinkCreateError2000" "微信二维码创建失败"
"PayLinkReCreate"   "点我重试"
"PayCheckOrder"     "支付成功物品到账可能会有几秒延迟，点我检查订单状态！"
"QuickBuy"       "快捷购买"
"QuickBuyTip"       "不足，还需"
"VipExpire"         "{s:y}年{s:m}月{s:d}日到期"
"LimitCount"        "物品限购：{d:curcount}/{d:count}"
"LimitRefreshTimeTip"        "刷新时间："
"LimitBuyTip"               "物品限购！"
"ProductNeedVip"               "秘境PLUS福利"
"FirstPay"               "首充双倍"
"CheckSuccess"           "检查成功"
"CheckFail"           "检查失败"
"BUY_SUCCEND"           "购买成功"
"USE_CDKEY"         "使用兑换码"
"USE_CDKEY_SUCCESS"         "兑换成功！"
// vip界面
"PermanentVip"              "永久秘境PLUS"
"IsPermanentVip"           "您已拥有秘境PLUS永久卡"
"EOMVIPPLUS"               "秘境PLUS"
"EarnEveryDay"             "每局奖励"
"EarnFreeDay"              "免费福利"
"Subscribe"                "订阅"
"Subscribe_AMonth"         "订阅1个月"
"Subscribe_SixMonth"       "订阅6个月"
"Subscribe_TwelveMonth"    "永久订阅"
"Vip_Discount"             "优惠"
"VipDescription"           "满载不同的工具，不仅能帮助突破最爱英雄的极限，收集提升所需的知识，还能紧跟日新月异的游戏版本。"
"Free"                      "免费"

"Earn_info"           "档案经验"
"Earn_bp"           "战令经验"
"Earn_draw"           "初始抽卡"
"Earn_drop"           "奖励掉落"
"Earn_day"           "月石（每日领取）"
"Earn_week"           "英雄宝箱(每周领取)"
"Limit_Limited"           "限定"
"Free_get"           "额外赠送"

"BannerVipTip"      "秘境PLUS，买到就是赚到！"

"cdkey_description"	"<font color='#80def6'>兑换码</font><br>输入兑换码领取物品"
"stardust_description"	"<font color='#80def6'>星辉</font><br></br>最稀有的货币，用于在星辉商店中兑换稀有商品，主要通过游玩或者打开宝箱获得。"
"starstone_description"	 "<font color='#80def6'>星石</font><br></br>用于在星石商店中购买星石商品，主要通过游玩或打开宝箱获得。"
"moonstone_description"	"<font color='#80def6'>月石</font><br></br>用于在月石商店中购买月石商品，主要通过充值或打开宝箱获得。"
"moonstone_description" "<font color='#80def6'>月石</font><br></br>用于在月石商店中购买月石商品，主要通过充值或打开宝箱获得。"
"hero_common_xp_description"	"<font color='#80def6'>英雄通用经验</font><br></br>用于升级任何英雄卡牌，主要通过游玩或使用星辉兑换获取。"


// GOTO Target Msg
"GotoTargetType_BuyVip"     "该商品为秘境PLUS福利，是否前往了解？"
"GotoTargetType_BuyIngameitem"     "数量不足，是否立即前往购买？"
"GotoTargetType_BuyIngameitem_Tip"     "不再提示，下次立即购买并使用。"
