"DOTA_Tooltip_ability_sp_fireball" "大火球术"
"DOTA_Tooltip_ability_sp_fireball_Description" "对%radius%范围内的敌人造成%damage%+最大生命值%damage_pct%%%（远古生物%damage_pct_ancient%%%）的魔法伤害并眩晕%stun_duration%秒"
"DOTA_Tooltip_ability_sp_frozen" "冻结"
"DOTA_Tooltip_ability_sp_frozen_Description" "冻结%radius%范围内的敌人，被冰冻的敌人额外受到%incoming_damage_spell%%%的法术卡伤害，持续%duration%秒"
"DOTA_Tooltip_ability_sp_peaceful" "生命之雨"
"DOTA_Tooltip_ability_sp_peaceful_Description" "在%radius%范围内的友军每秒恢复%heal_pct%%%的生命值，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_peaceful_aura" "生命之雨"
"DOTA_Tooltip_modifier_sp_peaceful_aura_Description" "持续恢复生命值"

"DOTA_Tooltip_ability_sp_upheavals" "牵引"
"DOTA_Tooltip_ability_sp_upheavals_Description" "将%radius%范围内的敌人牵引至中心，造成最大生命值%damage_pct%%%的魔法伤害并眩晕%stun_duration%秒。对远古生物无效"
"DOTA_Tooltip_modifier_sp_upheavals_motion" "牵引"
"DOTA_Tooltip_modifier_sp_upheavals_motion_Description" "被牵引至指定地点"
"DOTA_Tooltip_ability_sp_cataclysm" "大灾变"
"DOTA_Tooltip_ability_sp_cataclysm_Description" "在%radius%范围内的敌人每秒受到最大生命值%damage_pct%%%（远古生物%damage_pct_ancient%%%）的魔法伤害并降低%slow_move_speed%%%的移动速度，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_cataclysm_aura" "大灾变"
"DOTA_Tooltip_modifier_sp_cataclysm_aura_Description" "持续受到伤害和减速效果"
"DOTA_Tooltip_ability_sp_fear" "恐惧"
"DOTA_Tooltip_ability_sp_fear_Description" "使%radius%范围内的敌人四处逃窜并受到额外%incoming_damage%%%的伤害，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_fear_debuff" "恐惧额外伤害"
"DOTA_Tooltip_modifier_sp_fear_debuff_Description" "受到%dMODIFIER_PROPERTY_TOOLTIP%%%额外伤害"
"DOTA_Tooltip_ability_sp_invincible" "圣灵庇佑"
"DOTA_Tooltip_ability_sp_invincible_Description" "庇佑%radius%范围内的所有友军使其不会受到任何伤害，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_invincible_buff" "圣灵庇佑"
"DOTA_Tooltip_modifier_sp_invincible_buff_Description" "我无敌了！"
"DOTA_Tooltip_ability_sp_door" "撒豆成兵"
"DOTA_Tooltip_ability_sp_door_Description" "召唤%number_of_creeps%名小兵助战，持续%duration%秒。小兵继承指挥官%inherited_percent%%%的属性"
"DOTA_Tooltip_ability_sp_thunderbolt" "天罚雷电"
"DOTA_Tooltip_ability_sp_thunderbolt_Description" "对%radius%范围内的敌人造成%damage%点魔法伤害并麻痹%stun_time%秒。每使用一张天罚雷电会永久增加其%damage_per_stack%伤害<br>已使用{d:used_count}张"
"DOTA_Tooltip_modifier_lightning_bolt_debuff" "麻痹"
"DOTA_Tooltip_modifier_lightning_bolt_debuff_Description" "不能行动"


"DOTA_Tooltip_ability_sp_defections" "策反"
"DOTA_Tooltip_ability_sp_defections_Description" "将%radius%范围内的生命值低于%health_pct%%%以下的敌人变为友军，持续%duration%秒。对远古生物和精英无效"
"DOTA_Tooltip_ability_sp_revolt" "残暴之力"
"DOTA_Tooltip_ability_sp_revolt_Description" "使%radius%范围内的友方攻击有%crit_chance%%%的概率造成%crit_damage%%%暴击伤害，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_revolt_buff" "残暴之力"
"DOTA_Tooltip_modifier_sp_revolt_buff_Description" "攻击有%dMODIFIER_PROPERTY_TOOLTIP%%%概率造成%dMODIFIER_PROPERTY_TOOLTIP%%%暴击伤害"

"DOTA_Tooltip_ability_sp_golem" "地狱火"
"DOTA_Tooltip_ability_sp_golem_Description" "召唤地狱火并眩晕%radius%范围敌人%stun_duration%秒。地狱火持续%duration%秒，拥有永久献祭和烈焰之拳技能并继承指挥官%inherited_percent%%%的属性"
"npc_dota_sp_golem" "地狱火"
"DOTA_Tooltip_ability_sp_golem_flaming_fists" "烈焰之拳"
"DOTA_Tooltip_ability_sp_golem_flaming_fists_Description" "在攻击时对附近敌方单位造成额外伤害。"
"DOTA_Tooltip_ability_sp_golem_flaming_fists_physical2physical" "%伤害：物理攻击力*"
"DOTA_Tooltip_ability_sp_golem_flaming_fists_radius" "作用范围："
"DOTA_Tooltip_ability_sp_golem_permanent_immolation" "永恒献祭"
"DOTA_Tooltip_ability_sp_golem_permanent_immolation_Description" "地狱火燃烧它周围的敌方单位，每秒造成伤害。"
"DOTA_Tooltip_ability_sp_golem_permanent_immolation_magical2magical" "%伤害：魔法攻击力*"
"DOTA_Tooltip_ability_sp_golem_permanent_immolation_radius" "作用范围："

"DOTA_Tooltip_ability_sp_lastfight" "背水一战"
"DOTA_Tooltip_ability_sp_lastfight_Description" "提升%radius%范围内的友方%base_attack_bonus_pct%%%物理/魔法攻击力，每损失%hp_loss%%%的生命值额外提升%extra_attack_bonus_pct%%%物理/魔法攻击力，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_lastfight_buff" "背水一战"
"DOTA_Tooltip_modifier_sp_lastfight_buff_Description" "提升%dMODIFIER_PROPERTY_TOOLTIP%%%物理/魔法攻击力"
"DOTA_Tooltip_ability_sp_recall" "召回"
"DOTA_Tooltip_ability_sp_recall_Description" "召回目标英雄到战场起始点，并恢复%health_recover_pct%%%生命值"
"DOTA_Tooltip_ability_sp_recover" "回春术"
"DOTA_Tooltip_ability_sp_recover_Description" "恢复%radius%范围内的友方%health_recover_pct%%%生命值并降低受到%damage_reduction%%%的伤害，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_recover_buff" "回春术"
"DOTA_Tooltip_modifier_sp_recover_buff_Description" "降低%dMODIFIER_PROPERTY_TOOLTIP%%%受到的伤害"
"DOTA_Tooltip_ability_sp_attackhorn" "战时支援"
"DOTA_Tooltip_ability_sp_attackhorn_Description" "使%radius%范围内的友军每次攻击都恢复%base_recover%+最大生命值%recocer_pct%%%的生命值，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_attackhorn_buff" "战时支援"
"DOTA_Tooltip_modifier_sp_attackhorn_buff_Description" "每次攻击时恢复%dMODIFIER_PROPERTY_TOOLTIP%+最大生命值%dMODIFIER_PROPERTY_TOOLTIP%%%的生命值"
"DOTA_Tooltip_ability_sp_shallowgrave" "群体薄葬"
"DOTA_Tooltip_ability_sp_shallowgrave_Description" "使%radius%范围内的友方暂时不会死亡，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_shallowgrave_buff" "薄葬"
"DOTA_Tooltip_modifier_sp_shallowgrave_buff_Description" "暂时不会死亡"
"DOTA_Tooltip_ability_sp_cripple" "残废"
"DOTA_Tooltip_ability_sp_cripple_Description" "降低%radius%范围内的敌人%damage_reduce_pct%%%的伤害和%movespeed_reduce_pct%%%的移动速度，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_cripple_debuff" "残废"
"DOTA_Tooltip_modifier_sp_cripple_debuff_Description" "移动速度降低%dMODIFIER_PROPERTY_TOOLTIP%%%，伤害降低%dMODIFIER_PROPERTY_TOOLTIP2%%%"

"DOTA_Tooltip_ability_sp_physicalendurance" "肉体忍耐"
"DOTA_Tooltip_ability_sp_physicalendurance_Description" "使%radius%范围内的友方每次被攻击都会恢复最大生命值%health_recocer_pct%%%的生命值，持续%duration%秒"
"DOTA_Tooltip_modifier_sp_physicalendurance_buff" "肉体忍耐"
