"rattletrap"		"采矿智械"
"gyro"		"大黄蜂战机"
"shredderA"		"垃圾粉碎机"
"tinker"		"探照者"
"shredderB"		"重锤绅士"
"techies"		"爆破工程师"
"razor"		"闪电咆哮"
"snapfire"		"碧婆婆"
"sniper"		"卡尔德·鹰眼"
"death_prophetA"		"死亡预言家"
"brewmaster_earthspirit"		"土元素使"
"brewmaster_firespirit"		"火元素使"
"brewmaster_windspirit"		"风元素使"
"ogre_med"		"食人魔棒槌手"
"orge_lrg"		"食人魔巫祝"
"ogre_magi"		"食人魔魔法师"
"lanaya"		"金羽刺客"
"thunder_lizard"		"雷肤兽"
"puck"		"仙女龙"
"satyr_spawn_a"		"潜行者萨满"
"windrunner"		"风铃游侠"
"drow"		"黑鸦游侠"
"doomA"		"灾劫使徒"
"chaos_knight"		"邪眼骑士"
"shadowshaman"		"老骗子"
"huskar"		"幻影武士"
"darkmoon_assassin"		"寒月"
"naturecaller"		"呼唤者"
"skywrath_mage"		"风鹰王族"
"storm_spirit"		"雷暴之灵"
"earth_spirit"		"玉岩之灵"
"ember_spirit"		"熔烬之灵"
"void_spirit"		"虚幻之灵"
"golemA"		"花岗岩傀儡"
"golemB"		"泥沼投石傀儡"
"meepo"		"乌合之众"
"ghost"		"死灵怨魂"
"sven"		"圣盔骑士"
"juggernaut"		"鬼面武士"
"omniknight"		"完人骑士"
"legion_commander"		"战争艺术家"
"abyssal_underlord"		"灾厄领主"
"brewmaster"		"飞将军"
"kunkkaA"		"舰队统帅"
"golemC"		"地狱火"
"oracle"		"预兆者"
"vengeful_spirit"		"星界守卫"
"silencer"		"寂静拥抱"
"koboldB"		"狗头人盗贼"
"kunkkaB"		"亡灵海盗"
"dragon_knight"		"韩信"
"keeper_of_the_light"		"光明神"
"shadow_demon"		"黑暗神"
"trainer_dragon"		"憨憨小肥龙"
"mirana"		"静月公主"
"luna"		"新月"
"warlockA"		"摆渡人"
"grimstrokeA"		"乩笔判官"
"dazzle"		"暗影侍僧"
"koboldA"		"狗头人奴隶主"
"death_prophetB"		"雪姬"
"magnataur"		"猛犸"
"earthshaker"		"牛头"
"centaur"		"人马"
"anti_mage"		"星隐"
"batrider"		"蝙蝠骑士"
"chen"		"传道方士"
"bounty_hunter"		"猎手索鲁克"
"lina"		"纵火少女"
"faceless_void"		"无面者"
"pangolier"		"英剑"
"succubi"		"魅魔"
"alchemist"	"炼金方士"
"disruptor"	"风暴方士"
"lycan"	"利爪"
"druid"	"翠茂之灵"
"axe"	"熔岩主宰"
"dark_willow"	"邪影仙灵"
"lich"	"冰霜巫祝"
"void_runner"	"虚空行者"
"riki"	"哈桑"
"enigma"	"吞噬者"
"spectre"	"灵魂收割者"
"skeleton_king" "不朽大帝"
"pugna" "幽冥上师"
"clinkz"    "誓约守护者"
"skeleton_warrior"  "骸骨战士"
"tui3_1" "天辉战士"
"tui3_2" "夜魇法师"
"tui3_2_1" "夜魇战士"
"tui3_3" "夜魇南瓜兵"
"tui3_3_1" "夜魇法师"
"tui3_4" "巫毒弓箭手"
"tui3_5" "食人魔战士"
