"lang"
{
	"Language"	"SChinese"
	"Tokens"
	{
		"BOSS_1"	"亡灵骑士"
		"BOSS_2"	"元素法师"
		"BOSS_3"	"幻影刺客"
		"BOSS_4"	"人猿泰山"
		"BOSS_5"	"狂怒火元素"
		"BOSS_6"	"邪恶伐木机"
		"BOSS_jb"	"吞金兽"
		"DOTA_Tooltip_ability_item_tz_3_1_1"	"<font color='#477bff'>金镶玉项链</font>"
		"DOTA_Tooltip_ability_item_tz_3_1_1_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_3_1_1_bonus_damage_percent"	"%+$damage"
		"DOTA_Tooltip_ability_item_tz_3_1_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_1_2"	"<font color='#477bff'>金镶玉手镯</font>"
		"DOTA_Tooltip_ability_item_tz_3_1_2_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_3_1_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_3_1_2_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_3_1_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_1_3"	"<font color='#477bff'>金镶玉戒指</font>"
		"DOTA_Tooltip_ability_item_tz_3_1_3_Description"	"<h1>被动：减甲</h1>减少目标%armor%点护甲，持续%duration%秒。"
		"DOTA_Tooltip_ability_item_tz_3_1_3_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_3_1_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_2_1"	"<font color='#477bff'>枯木逢春上衣</font>"
		"DOTA_Tooltip_ability_item_tz_3_2_1_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_3_2_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_2_1_bonus_health_regen"	"+$hp_regen"
		"DOTA_Tooltip_ability_item_tz_3_2_1_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_3_2_2"	"<font color='#477bff'>枯木逢春下装</font>"
		"DOTA_Tooltip_ability_item_tz_3_2_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_3_2_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_2_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_3_2_2_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_3_2_3"	"<font color='#477bff'>枯木逢春肩甲</font>"
		"DOTA_Tooltip_ability_item_tz_3_2_3_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_3_2_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_2_3_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_3_2_3_magic_resistance"	"%+$spell_resist"
		"DOTA_Tooltip_ability_item_tz_3_3_1"	"<font color='#477bff'>潮汐水灵之心</font>"
