"lang"
{
	"Language"	"tchinese"
	"Tokens"
	{
		"BOSS_1"	"亡靈騎士"
		"BOSS_2"	"元素法師"
		"BOSS_3"	"幻影刺客"
		"BOSS_4"	"人猿泰山"
		"BOSS_5"	"狂怒火元素"
		"BOSS_6"	"邪惡伐木機"
		"BOSS_jb"	"吞金獸"
		"DOTA_Tooltip_ability_item_tz_3_1_1"	"<font color='#477bff'>金鑲玉項鍊</font>"
		"DOTA_Tooltip_ability_item_tz_3_1_1_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_3_1_1_bonus_damage_percent"	"%+$damage"
		"DOTA_Tooltip_ability_item_tz_3_1_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_1_2"	"<font color='#477bff'>金鑲玉手鐲</font>"
		"DOTA_Tooltip_ability_item_tz_3_1_2_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_3_1_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_3_1_2_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_3_1_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_1_3"	"<font color='#477bff'>金鑲玉戒指</font>"
		"DOTA_Tooltip_ability_item_tz_3_1_3_Description"	"<h1>被動：減甲</h1>減少目標%armor%點護甲，持續%duration%秒。"
		"DOTA_Tooltip_ability_item_tz_3_1_3_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_3_1_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_2_1"	"<font color='#477bff'>枯木逢春上衣</font>"
		"DOTA_Tooltip_ability_item_tz_3_2_1_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_3_2_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_2_1_bonus_health_regen"	"+$hp_regen"
		"DOTA_Tooltip_ability_item_tz_3_2_1_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_3_2_2"	"<font color='#477bff'>枯木逢春下裝</font>"
		"DOTA_Tooltip_ability_item_tz_3_2_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_3_2_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_2_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_3_2_2_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_3_2_3"	"<font color='#477bff'>枯木逢春肩甲</font>"
		"DOTA_Tooltip_ability_item_tz_3_2_3_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_3_2_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_2_3_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_3_2_3_magic_resistance"	"%+$spell_resist"
		"DOTA_Tooltip_ability_item_tz_3_3_1"	"<font color='#477bff'>潮汐水靈之心</font>"
		"DOTA_Tooltip_ability_item_tz_3_3_1_Description"	"<h1>主動：堅韌(套裝技能)</h1>給周圍隊友一次弱驅散，並回復友軍以施法者全屬性*5的生命值  作用範圍：1800碼\n\n<h1>被動：水靈之心</h1>周圍友軍英雄全屬性+30，生命回復+10，魔法回復+5"
		"DOTA_Tooltip_ability_item_tz_3_3_1_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_3_3_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_3_2"	"<font color='#477bff'>潮汐水靈戒指</font>"
		"DOTA_Tooltip_ability_item_tz_3_3_2_Description"	"<h1>被動：水靈耳環</h1>周圍友軍的攻擊提升20%，攻擊速度+20"
		"DOTA_Tooltip_ability_item_tz_3_3_2_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_3_3_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_3_3"	"<font color='#477bff'>潮汐水靈庇護</font>"
		"DOTA_Tooltip_ability_item_tz_3_3_3_Description"	"<h1>被動：水靈庇護</h1>周圍友軍的技能傷害提升5%，護甲+5 魔法抗性+10%"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_crit"	"%+暴擊概率"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_4_1"	"<font color='#477bff'>冰霜亡靈手鐲</font>"
		"DOTA_Tooltip_ability_item_tz_3_4_1_Description"	"<h1>主動：</h1>主動：發出一圈寒冰，對周圍的1000碼的敵方單位造成 20*智力的魔法傷害，並造成減速30%，持續3s"
		"DOTA_Tooltip_ability_item_tz_3_4_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_4_1_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_3_4_2"	"<font color='#477bff'>冰霜亡靈戒指</font>"
		"DOTA_Tooltip_ability_item_tz_3_4_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_4_2_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_3_4_2_spell_damage"	"%+技能傷害"
		"DOTA_Tooltip_ability_item_tz_3_4_3"	"<font color='#477bff'>冰霜亡靈項鍊</font>"
		"DOTA_Tooltip_ability_item_tz_3_4_3_bonus_crit"	"%+魔法暴擊概率"
		"DOTA_Tooltip_ability_item_tz_3_4_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_4_3_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_3_4_3_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_tz_4_1_1"	"<font color='#a91ac8'>大地脈動戰甲</font>"
		"DOTA_Tooltip_ability_item_tz_4_1_1_Description"	"<h1>主動：(套裝技能)</h1>主動：自身護甲+15，力量+400 ，技能傷害+20%，持續12s"
		"DOTA_Tooltip_ability_item_tz_4_1_1_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_1_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_1_1_bonus_health_regen"	"+$hp_regen"
		"DOTA_Tooltip_ability_item_tz_4_1_1_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_1_2"	"<font color='#a91ac8'>大地脈動之靴</font>"
		"DOTA_Tooltip_ability_item_tz_4_1_2_bonus_attacked_hp_regen"	"+被攻擊回復生命"
		"DOTA_Tooltip_ability_item_tz_4_1_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_1_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_4_1_2_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_1_3"	"<font color='#a91ac8'>大地脈動頭盔</font>"
		"DOTA_Tooltip_ability_item_tz_4_1_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_4_1_3_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_4_2_1"	"<font color='#a91ac8'>逝魔爆裂</font>"
		"DOTA_Tooltip_ability_item_tz_4_2_1_Description"	"<h1>被動：低能感知</h1>釋放技能耗藍增加+50%"
		"DOTA_Tooltip_ability_item_tz_4_2_1_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_4_2_1_bonus_spell_damage"	"%+技能傷害"
		"DOTA_Tooltip_ability_item_tz_4_2_2"	"<font color='#a91ac8'>法力流失</font>"
		"DOTA_Tooltip_ability_item_tz_4_2_2_Description"	"<h1>被動：魔力流失</h1>每秒流逝自身1%的最大魔法值"
		"DOTA_Tooltip_ability_item_tz_4_2_2_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_4_2_2_bonus_spell_damage"	"%+技能傷害"
		"DOTA_Tooltip_ability_item_tz_4_2_3"	"<font color='#a91ac8'>秘銀精石</font>"
		"DOTA_Tooltip_ability_item_tz_4_2_3_Description"	"<h1>被動：魔力壓制</h1>降低100%魔法回復速率"
		"DOTA_Tooltip_ability_item_tz_4_2_3_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_4_2_3_bonus_spell_damage"	"%+技能傷害"
		"DOTA_Tooltip_ability_item_tz_4_3_1"	"<font color='#a91ac8'>漫天黃沙上衣</font>"
		"DOTA_Tooltip_ability_item_tz_4_3_1_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_4_3_1_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_4_3_1_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_4_3_1_bonus_evasion"	"%+$evasion"
		"DOTA_Tooltip_ability_item_tz_4_3_1_bonus_health"	"+$health"
